Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,643,All cancers,1,164172,163152,165198,164172,153.0,242.9,17.7
1,C00-06,643,"Lip, oral cavity",1,3971,3723,4236,3971,3.9,5.9,0.49
2,C07-08,643,Salivary glands,1,474,394,570,474,0.47,0.70,0.05
3,C09-10,643,Oropharynx,1,1678,1519,1853,1678,1.7,2.5,0.21
4,C11,643,Nasopharynx,1,242,187,313,242,0.25,0.36,0.03
5,C12-13,643,Hypopharynx,1,1865,1696,2051,1865,1.8,2.8,0.24
6,C15,643,Oesophagus,1,6461,6200,6732,6461,6.1,9.6,0.81
7,C16,643,Stomach,1,14800,14369,15244,14800,13.6,21.9,1.7
41,C18-C21,643,Colorectum,1,19563,-,-,19563,17.8,28.9,2.2
11,C22,643,Liver and intrahepatic bile ducts,1,6721,6447,7007,6721,6.4,9.9,0.79
12,C23,643,Gallbladder,1,369,309,441,369,0.34,0.55,0.04
13,C25,643,Pancreas,1,10048,9757,10348,10048,9.5,14.9,1.2
14,C32,643,Larynx,1,3679,3487,3882,3679,3.5,5.4,0.47
15,C33-34,643,"Trachea, bronchus and lung",1,41249,40389,42127,41249,38.1,61.0,5.1
16,C43,643,Melanoma of skin,1,1855,1733,1985,1855,1.8,2.7,0.21
17,C44,643,Non-melanoma skin cancer,1,773,684,874,773,0.69,1.1,0.07
18,C45,643,Mesothelioma,1,790,731,854,790,0.77,1.2,0.09
19,C46,643,Kaposi sarcoma,1,57,13,246,57,0.05,0.08,0.00
26,C60,643,Penis,1,289,238,350,289,0.27,0.43,0.03
27,C61,643,Prostate,1,14635,14303,14975,14635,12.7,21.7,1.5
28,C62,643,Testis,1,302,259,352,302,0.36,0.45,0.03
29,C64,643,Kidney,1,5493,5150,5859,5493,5.1,8.1,0.66
30,C67,643,Bladder,1,4574,4398,4757,4574,4.1,6.8,0.50
31,C70-72,643," Brain, central nervous system",1,4280,4102,4465,4280,4.5,6.3,0.51
32,C73,643,Thyroid,1,334,261,427,334,0.31,0.49,0.04
33,C81,643,Hodgkin lymphoma,1,418,340,514,418,0.47,0.62,0.05
34,C82-86+C88,643,Non-Hodgkin lymphoma,1,2915,2766,3072,2915,2.9,4.3,0.34
35,C90,643,Multiple myeloma,1,1438,1332,1552,1438,1.3,2.1,0.18
36,C91-95,643,Leukaemia,1,4092,3920,4272,4092,4.1,6.1,0.47
