Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,686,All cancers,1,3111,2965,3265,3111,74.2,36.1,7.8
1,C00-06,686,"Lip, oral cavity",1,48,15,158,48,1.1,0.56,0.13
2,C07-08,686,Salivary glands,1,20,1,294,20,0.48,0.23,0.06
3,C09-10,686,Oropharynx,1,7,1,86,7,0.19,0.08,0.02
4,C11,686,Nasopharynx,1,11,1,162,11,0.25,0.13,0.02
5,C12-13,686,Hypopharynx,1,4,0,59,4,0.10,0.05,0.01
6,C15,686,Oesophagus,1,72,5,1059,72,1.8,0.83,0.19
7,C16,686,Stomach,1,303,115,800,303,7.6,3.5,0.89
41,C18-C21,686,Colorectum,1,204,-,-,204,5.0,2.4,0.54
11,C22,686,Liver and intrahepatic bile ducts,1,649,438,962,649,14.1,7.5,1.6
12,C23,686,Gallbladder,1,2,0,29,2,0.05,0.02,0.00
13,C25,686,Pancreas,1,91,6,1339,91,2.4,1.1,0.28
14,C32,686,Larynx,1,31,9,108,31,0.81,0.36,0.09
15,C33-34,686,"Trachea, bronchus and lung",1,163,17,1534,163,3.9,1.9,0.46
16,C43,686,Melanoma of skin,1,2,1,5,2,0.06,0.02,0.01
17,C44,686,Non-melanoma skin cancer,1,48,35,65,48,1.2,0.56,0.15
18,C45,686,Mesothelioma,1,1,0,15,1,0.01,0.01,0.00
19,C46,686,Kaposi sarcoma,1,25,2,368,25,0.46,0.29,0.06
26,C60,686,Penis,1,2,0,29,2,0.03,0.02,0.00
27,C61,686,Prostate,1,494,195,1254,494,15.4,5.7,1.5
28,C62,686,Testis,1,4,2,9,4,0.05,0.05,0.00
29,C64,686,Kidney,1,61,8,462,61,1.1,0.71,0.12
30,C67,686,Bladder,1,81,10,661,81,2.1,0.94,0.24
31,C70-72,686," Brain, central nervous system",1,80,29,219,80,2.0,0.93,0.20
32,C73,686,Thyroid,1,16,2,121,16,0.48,0.19,0.05
33,C81,686,Hodgkin lymphoma,1,20,4,113,20,0.31,0.23,0.03
34,C82-86+C88,686,Non-Hodgkin lymphoma,1,115,63,209,115,2.0,1.3,0.21
35,C90,686,Multiple myeloma,1,24,2,353,24,0.59,0.28,0.07
36,C91-95,686,Leukaemia,1,66,12,350,66,1.2,0.77,0.12
