Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,688,All cancers,1,13570,13312,13833,13570,161.0,320.3,17.4
1,C00-06,688,"Lip, oral cavity",1,253,202,317,253,3.0,6.0,0.36
2,C07-08,688,Salivary glands,1,26,18,38,26,0.29,0.61,0.03
3,C09-10,688,Oropharynx,1,85,64,113,85,1.2,2.0,0.15
4,C11,688,Nasopharynx,1,20,13,30,20,0.27,0.47,0.03
5,C12-13,688,Hypopharynx,1,110,78,155,110,1.5,2.6,0.19
6,C15,688,Oesophagus,1,186,156,221,186,2.4,4.4,0.30
7,C16,688,Stomach,1,638,576,707,638,7.4,15.1,0.85
41,C18-C21,688,Colorectum,1,1872,-,-,1872,20.8,44.2,2.3
11,C22,688,Liver and intrahepatic bile ducts,1,478,418,546,478,5.6,11.3,0.66
12,C23,688,Gallbladder,1,47,33,67,47,0.57,1.1,0.07
13,C25,688,Pancreas,1,689,606,783,689,8.1,16.3,0.98
14,C32,688,Larynx,1,347,294,410,347,4.4,8.2,0.53
15,C33-34,688,"Trachea, bronchus and lung",1,3939,3765,4121,3939,49.4,93.0,6.2
16,C43,688,Melanoma of skin,1,195,153,248,195,2.5,4.6,0.28
17,C44,688,Non-melanoma skin cancer,1,134,107,168,134,1.3,3.2,0.09
18,C45,688,Mesothelioma,1,30,18,49,30,0.36,0.71,0.05
19,C46,688,Kaposi sarcoma,1,6,2,20,6,0.09,0.14,0.01
26,C60,688,Penis,1,28,19,41,28,0.32,0.66,0.04
27,C61,688,Prostate,1,1197,1065,1345,1197,11.4,28.3,1.1
28,C62,688,Testis,1,38,27,54,38,0.74,0.90,0.06
29,C64,688,Kidney,1,289,238,351,289,3.4,6.8,0.40
30,C67,688,Bladder,1,663,582,755,663,6.8,15.7,0.71
31,C70-72,688," Brain, central nervous system",1,400,330,484,400,5.5,9.4,0.63
32,C73,688,Thyroid,1,25,17,37,25,0.30,0.59,0.04
33,C81,688,Hodgkin lymphoma,1,34,24,48,34,0.51,0.80,0.05
34,C82-86+C88,688,Non-Hodgkin lymphoma,1,227,182,284,227,2.8,5.4,0.32
35,C90,688,Multiple myeloma,1,140,112,176,140,1.8,3.3,0.22
36,C91-95,688,Leukaemia,1,339,277,415,339,4.8,8.0,0.49
