Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,724,All cancers,1,69442,68812,70077,69442,117.2,302.3,12.4
1,C00-06,724,"Lip, oral cavity",1,723,638,819,723,1.4,3.2,0.17
2,C07-08,724,Salivary glands,1,160,128,200,160,0.23,0.70,0.02
3,C09-10,724,Oropharynx,1,492,434,557,492,1.0,2.1,0.13
4,C11,724,Nasopharynx,1,159,128,197,159,0.34,0.69,0.04
5,C12-13,724,Hypopharynx,1,268,213,337,268,0.54,1.2,0.07
6,C15,724,Oesophagus,1,1574,1443,1717,1574,3.1,6.9,0.38
7,C16,724,Stomach,1,3065,2885,3256,3065,5.2,13.3,0.57
41,C18-C21,724,Colorectum,1,9906,-,-,9906,15.3,43.1,1.6
11,C22,724,Liver and intrahepatic bile ducts,1,3919,3694,4158,3919,7.2,17.1,0.86
12,C23,724,Gallbladder,1,166,127,217,166,0.25,0.72,0.03
13,C25,724,Pancreas,1,4169,3979,4368,4169,7.6,18.2,0.91
14,C32,724,Larynx,1,1086,995,1185,1086,2.0,4.7,0.25
15,C33-34,724,"Trachea, bronchus and lung",1,17318,16788,17864,17318,31.6,75.4,3.9
16,C43,724,Melanoma of skin,1,608,538,688,608,1.2,2.7,0.12
17,C44,724,Non-melanoma skin cancer,1,473,406,551,473,0.58,2.1,0.04
18,C45,724,Mesothelioma,1,384,324,455,384,0.63,1.7,0.08
19,C46,724,Kaposi sarcoma,1,30,19,47,30,0.06,0.13,0.00
26,C60,724,Penis,1,131,100,172,131,0.22,0.57,0.02
27,C61,724,Prostate,1,6217,5963,6482,6217,7.6,27.1,0.62
28,C62,724,Testis,1,55,41,75,55,0.18,0.24,0.02
29,C64,724,Kidney,1,2094,1961,2236,2094,3.7,9.1,0.42
30,C67,724,Bladder,1,4684,4447,4933,4684,6.4,20.4,0.62
31,C70-72,724," Brain, central nervous system",1,1869,1721,2030,1869,4.3,8.1,0.48
32,C73,724,Thyroid,1,121,90,163,121,0.22,0.53,0.03
33,C81,724,Hodgkin lymphoma,1,128,94,174,128,0.28,0.56,0.03
34,C82-86+C88,724,Non-Hodgkin lymphoma,1,1712,1583,1851,1712,2.8,7.5,0.30
35,C90,724,Multiple myeloma,1,1125,1020,1241,1125,1.7,4.9,0.17
36,C91-95,724,Leukaemia,1,2086,1952,2229,2086,3.6,9.1,0.35
