Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,144,All cancers,1,9820,9557,10090,9820,67.8,95.1,7.5
1,C00-06,144,"Lip, oral cavity",1,940,895,988,940,6.6,9.1,0.80
2,C07-08,144,Salivary glands,1,52,43,63,52,0.36,0.50,0.03
3,C09-10,144,Oropharynx,1,223,198,251,223,1.6,2.2,0.20
4,C11,144,Nasopharynx,1,35,23,53,35,0.25,0.34,0.02
5,C12-13,144,Hypopharynx,1,149,134,166,149,1.0,1.4,0.13
6,C15,144,Oesophagus,1,1027,904,1167,1027,6.9,10.0,0.81
7,C16,144,Stomach,1,421,363,488,421,2.9,4.1,0.33
41,C18-C21,144,Colorectum,1,580,-,-,580,3.9,5.6,0.45
11,C22,144,Liver and intrahepatic bile ducts,1,264,203,343,264,1.8,2.6,0.21
12,C23,144,Gallbladder,1,28,17,45,28,0.20,0.27,0.02
13,C25,144,Pancreas,1,157,109,225,157,1.1,1.5,0.13
14,C32,144,Larynx,1,380,352,410,380,2.6,3.7,0.34
15,C33-34,144,"Trachea, bronchus and lung",1,1520,1372,1684,1520,10.3,14.7,1.2
16,C43,144,Melanoma of skin,1,27,18,40,27,0.19,0.26,0.02
17,C44,144,Non-melanoma skin cancer,1,96,85,108,96,0.68,0.93,0.08
18,C45,144,Mesothelioma,1,4,1,15,4,0.04,0.04,0.00
19,C46,144,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,144,Penis,1,43,36,52,43,0.29,0.42,0.03
27,C61,144,Prostate,1,422,397,448,422,2.7,4.1,0.29
28,C62,144,Testis,1,18,16,20,18,0.15,0.17,0.02
29,C64,144,Kidney,1,137,118,159,137,0.94,1.3,0.11
30,C67,144,Bladder,1,245,224,268,245,1.6,2.4,0.17
31,C70-72,144," Brain, central nervous system",1,240,191,302,240,1.8,2.3,0.18
32,C73,144,Thyroid,1,69,65,73,69,0.47,0.67,0.05
33,C81,144,Hodgkin lymphoma,1,44,39,50,44,0.35,0.43,0.03
34,C82-86+C88,144,Non-Hodgkin lymphoma,1,321,292,353,321,2.3,3.1,0.27
35,C90,144,Multiple myeloma,1,244,192,311,244,1.6,2.4,0.19
36,C91-95,144,Leukaemia,1,496,427,576,496,3.9,4.8,0.39
