Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,963,All cancers,1,236390,234080,238723,236390,84.1,41.1,8.7
1,C00-06,963,"Lip, oral cavity",1,3972,3685,4282,3972,1.5,0.69,0.17
2,C07-08,963,Salivary glands,1,1351,1189,1535,1351,0.50,0.23,0.06
3,C09-10,963,Oropharynx,1,1151,995,1332,1151,0.41,0.20,0.05
4,C11,963,Nasopharynx,1,2966,2730,3222,2966,0.94,0.52,0.11
5,C12-13,963,Hypopharynx,1,755,634,898,755,0.28,0.13,0.03
6,C15,963,Oesophagus,1,14047,13506,14609,14047,5.2,2.4,0.61
7,C16,963,Stomach,1,10673,10204,11164,10673,3.9,1.9,0.45
41,C18-C21,963,Colorectum,1,16727,-,-,16727,6.0,2.9,0.67
11,C22,963,Liver and intrahepatic bile ducts,1,24207,23488,24948,24207,7.6,4.2,0.83
12,C23,963,Gallbladder,1,690,581,820,690,0.27,0.12,0.03
13,C25,963,Pancreas,1,5765,5403,6151,5765,2.2,1.0,0.25
14,C32,963,Larynx,1,3043,2791,3318,3043,1.2,0.53,0.14
15,C33-34,963,"Trachea, bronchus and lung",1,12959,12337,13613,12959,5.0,2.3,0.59
16,C43,963,Melanoma of skin,1,1084,911,1290,1084,0.44,0.19,0.04
17,C44,963,Non-melanoma skin cancer,1,3432,3164,3722,3432,1.3,0.60,0.15
18,C45,963,Mesothelioma,1,398,296,535,398,0.15,0.07,0.02
19,C46,963,Kaposi sarcoma,1,8926,8511,9361,8926,2.0,1.6,0.18
26,C60,963,Penis,1,871,743,1021,871,0.29,0.15,0.03
27,C61,963,Prostate,1,48786,47733,49862,48786,22.1,8.5,2.3
28,C62,963,Testis,1,921,795,1067,921,0.26,0.16,0.03
29,C64,963,Kidney,1,4115,3826,4425,4115,1.2,0.72,0.12
30,C67,963,Bladder,1,5186,4858,5537,5186,2.1,0.90,0.21
31,C70-72,963," Brain, central nervous system",1,4151,3858,4466,4151,1.2,0.72,0.12
32,C73,963,Thyroid,1,858,733,1004,858,0.36,0.15,0.04
33,C81,963,Hodgkin lymphoma,1,1872,1687,2077,1872,0.46,0.33,0.04
34,C82-86+C88,963,Non-Hodgkin lymphoma,1,11489,10998,12002,11489,3.2,2.0,0.33
35,C90,963,Multiple myeloma,1,2485,2253,2741,2485,0.94,0.43,0.11
36,C91-95,963,Leukaemia,1,8496,8079,8934,8496,2.4,1.5,0.24
