Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,740,All cancers,1,340,300,385,340,114.8,113.4,10.8
1,C00-06,740,"Lip, oral cavity",1,6,1,40,6,1.9,2.0,0.20
2,C07-08,740,Salivary glands,1,0,0,0,0,0.00,0.00,0.00
3,C09-10,740,Oropharynx,1,1,0,10,1,0.40,0.33,0.00
4,C11,740,Nasopharynx,1,5,0,50,5,1.5,1.7,0.16
5,C12-13,740,Hypopharynx,1,0,0,0,0,0.00,0.00,0.00
6,C15,740,Oesophagus,1,3,0,30,3,0.97,1.0,0.10
7,C16,740,Stomach,1,16,6,44,16,5.2,5.3,0.59
41,C18-C21,740,Colorectum,1,33,-,-,33,11.1,11.0,1.5
11,C22,740,Liver and intrahepatic bile ducts,1,24,11,52,24,8.1,8.0,0.86
12,C23,740,Gallbladder,1,0,0,0,0,0.00,0.00,0.00
13,C25,740,Pancreas,1,11,3,37,11,3.8,3.7,0.50
14,C32,740,Larynx,1,2,0,20,2,0.68,0.67,0.07
15,C33-34,740,"Trachea, bronchus and lung",1,61,37,99,61,20.2,20.4,2.1
16,C43,740,Melanoma of skin,1,1,0,10,1,0.33,0.33,0.04
17,C44,740,Non-melanoma skin cancer,1,0,0,0,0,0.00,0.00,0.00
18,C45,740,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,740,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,740,Penis,1,2,0,20,2,0.79,0.67,0.16
27,C61,740,Prostate,1,95,44,206,95,33.3,31.7,2.2
28,C62,740,Testis,1,0,0,0,0,0.00,0.00,0.00
29,C64,740,Kidney,1,2,0,20,2,0.58,0.67,0.07
30,C67,740,Bladder,1,5,0,50,5,1.9,1.7,0.16
31,C70-72,740," Brain, central nervous system",1,14,5,41,14,4.6,4.7,0.51
32,C73,740,Thyroid,1,0,0,0,0,0.00,0.00,0.00
33,C81,740,Hodgkin lymphoma,1,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,740,Non-Hodgkin lymphoma,1,8,1,45,8,2.6,2.7,0.33
35,C90,740,Multiple myeloma,1,6,1,40,6,2.1,2.0,0.15
36,C91-95,740,Leukaemia,1,9,2,42,9,3.1,3.0,0.36
