Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,528,All cancers,1,27172,26766,27584,27172,116.7,316.7,11.6
1,C00-06,528,"Lip, oral cavity",1,163,133,200,163,0.84,1.9,0.10
2,C07-08,528,Salivary glands,1,41,29,59,41,0.17,0.48,0.02
3,C09-10,528,Oropharynx,1,148,108,202,148,0.75,1.7,0.09
4,C11,528,Nasopharynx,1,33,22,49,33,0.16,0.38,0.02
5,C12-13,528,Hypopharynx,1,93,65,133,93,0.45,1.1,0.05
6,C15,528,Oesophagus,1,1673,1558,1796,1673,7.9,19.5,0.93
7,C16,528,Stomach,1,726,636,829,726,3.2,8.5,0.35
41,C18-C21,528,Colorectum,1,3511,-,-,3511,14.9,40.9,1.6
11,C22,528,Liver and intrahepatic bile ducts,1,889,791,999,889,4.1,10.4,0.48
12,C23,528,Gallbladder,1,43,30,62,43,0.17,0.50,0.02
13,C25,528,Pancreas,1,1686,1542,1843,1686,7.7,19.7,0.90
14,C32,528,Larynx,1,189,146,244,189,0.87,2.2,0.10
15,C33-34,528,"Trachea, bronchus and lung",1,6091,5867,6324,6091,26.5,71.0,3.0
16,C43,528,Melanoma of skin,1,542,466,631,542,2.5,6.3,0.26
17,C44,528,Non-melanoma skin cancer,1,85,66,110,85,0.30,0.99,0.02
18,C45,528,Mesothelioma,1,449,384,526,449,1.9,5.2,0.22
19,C46,528,Kaposi sarcoma,1,1,0,5,1,0.00,0.01,0.00
26,C60,528,Penis,1,44,30,63,44,0.18,0.51,0.02
27,C61,528,Prostate,1,3258,3056,3473,3258,11.4,38.0,0.86
28,C62,528,Testis,1,20,13,31,20,0.20,0.23,0.02
29,C64,528,Kidney,1,825,743,916,825,3.8,9.6,0.44
30,C67,528,Bladder,1,1358,1227,1503,1358,5.0,15.8,0.46
31,C70-72,528," Brain, central nervous system",1,661,560,780,661,4.2,7.7,0.47
32,C73,528,Thyroid,1,53,41,68,53,0.22,0.62,0.02
33,C81,528,Hodgkin lymphoma,1,45,32,64,45,0.22,0.52,0.02
34,C82-86+C88,528,Non-Hodgkin lymphoma,1,950,840,1074,950,4.1,11.1,0.42
35,C90,528,Multiple myeloma,1,543,493,598,543,2.1,6.3,0.22
36,C91-95,528,Leukaemia,1,1017,903,1145,1017,4.2,11.9,0.40
