Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,768,All cancers,1,1623,1518,1735,1623,74.7,37.6,7.9
1,C00-06,768,"Lip, oral cavity",1,25,9,70,25,1.0,0.58,0.13
2,C07-08,768,Salivary glands,1,29,10,85,29,1.4,0.67,0.19
3,C09-10,768,Oropharynx,1,15,2,102,15,0.71,0.35,0.10
4,C11,768,Nasopharynx,1,17,8,36,17,0.64,0.39,0.08
5,C12-13,768,Hypopharynx,1,2,0,18,2,0.09,0.05,0.01
6,C15,768,Oesophagus,1,81,6,1192,81,4.2,1.9,0.43
7,C16,768,Stomach,1,139,98,197,139,6.8,3.2,0.75
41,C18-C21,768,Colorectum,1,157,-,-,157,7.1,3.6,0.76
11,C22,768,Liver and intrahepatic bile ducts,1,121,108,135,121,4.8,2.8,0.52
12,C23,768,Gallbladder,1,8,2,34,8,0.37,0.19,0.03
13,C25,768,Pancreas,1,37,28,48,37,1.8,0.86,0.19
14,C32,768,Larynx,1,33,2,471,33,1.7,0.76,0.17
15,C33-34,768,"Trachea, bronchus and lung",1,53,21,136,53,2.8,1.2,0.22
16,C43,768,Melanoma of skin,1,10,1,147,10,0.80,0.23,0.05
17,C44,768,Non-melanoma skin cancer,1,40,24,67,40,1.7,0.93,0.22
18,C45,768,Mesothelioma,1,1,1,1,1,0.06,0.02,0.01
19,C46,768,Kaposi sarcoma,1,24,2,353,24,0.69,0.56,0.06
26,C60,768,Penis,1,1,0,7,1,0.06,0.02,0.00
27,C61,768,Prostate,1,294,274,315,294,17.4,6.8,2.0
28,C62,768,Testis,1,5,1,39,5,0.14,0.12,0.01
29,C64,768,Kidney,1,31,15,62,31,1.3,0.72,0.18
30,C67,768,Bladder,1,20,12,32,20,1.1,0.46,0.11
31,C70-72,768," Brain, central nervous system",1,27,14,53,27,1.0,0.62,0.12
32,C73,768,Thyroid,1,0,0,0,0,0.00,0.00,0.00
33,C81,768,Hodgkin lymphoma,1,19,5,80,19,0.97,0.44,0.01
34,C82-86+C88,768,Non-Hodgkin lymphoma,1,88,35,220,88,3.0,2.0,0.33
35,C90,768,Multiple myeloma,1,21,5,86,21,0.94,0.49,0.11
36,C91-95,768,Leukaemia,1,60,45,80,60,2.3,1.4,0.22
