Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,780,All cancers,1,1169,1093,1250,1169,109.1,168.5,10.4
1,C00-06,780,"Lip, oral cavity",1,14,5,40,14,1.3,2.0,0.14
2,C07-08,780,Salivary glands,1,0,0,0,0,0.00,0.00,0.00
3,C09-10,780,Oropharynx,1,7,2,29,7,0.73,1.0,0.08
4,C11,780,Nasopharynx,1,3,0,30,3,0.29,0.43,0.03
5,C12-13,780,Hypopharynx,1,2,0,12,2,0.20,0.29,0.03
6,C15,780,Oesophagus,1,23,12,44,23,2.2,3.3,0.27
7,C16,780,Stomach,1,46,29,73,46,4.3,6.6,0.45
41,C18-C21,780,Colorectum,1,139,-,-,139,13.0,20.0,1.4
11,C22,780,Liver and intrahepatic bile ducts,1,31,18,52,31,2.9,4.5,0.34
12,C23,780,Gallbladder,1,2,0,12,2,0.17,0.29,0.02
13,C25,780,Pancreas,1,59,40,88,59,5.4,8.5,0.60
14,C32,780,Larynx,1,20,10,39,20,1.8,2.9,0.18
15,C33-34,780,"Trachea, bronchus and lung",1,161,123,210,161,15.5,23.2,1.8
16,C43,780,Melanoma of skin,1,2,0,20,2,0.16,0.29,0.02
17,C44,780,Non-melanoma skin cancer,1,3,0,30,3,0.25,0.43,0.00
18,C45,780,Mesothelioma,1,1,0,10,1,0.09,0.14,0.02
19,C46,780,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,780,Penis,1,1,0,4,1,0.10,0.14,0.01
27,C61,780,Prostate,1,370,333,411,370,32.3,53.3,2.4
28,C62,780,Testis,1,1,0,10,1,0.18,0.14,0.01
29,C64,780,Kidney,1,18,9,38,18,1.7,2.6,0.25
30,C67,780,Bladder,1,33,19,56,33,3.1,4.8,0.37
31,C70-72,780," Brain, central nervous system",1,14,6,33,14,1.4,2.0,0.16
32,C73,780,Thyroid,1,1,0,10,1,0.10,0.14,0.01
33,C81,780,Hodgkin lymphoma,1,3,0,30,3,0.39,0.43,0.03
34,C82-86+C88,780,Non-Hodgkin lymphoma,1,34,18,65,34,3.7,4.9,0.36
35,C90,780,Multiple myeloma,1,29,16,53,29,2.7,4.2,0.29
36,C91-95,780,Leukaemia,1,33,20,53,33,3.4,4.8,0.35
