Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,800,All cancers,1,10708,10433,10990,10708,116.3,44.8,12.1
1,C00-06,800,"Lip, oral cavity",1,195,159,240,195,2.5,0.82,0.26
2,C07-08,800,Salivary glands,1,41,24,71,41,0.50,0.17,0.05
3,C09-10,800,Oropharynx,1,57,36,90,57,0.83,0.24,0.09
4,C11,800,Nasopharynx,1,217,171,275,217,2.2,0.91,0.26
5,C12-13,800,Hypopharynx,1,51,27,96,51,0.76,0.21,0.11
6,C15,800,Oesophagus,1,1419,1260,1597,1419,17.9,5.9,2.1
7,C16,800,Stomach,1,250,187,334,250,3.4,1.1,0.38
41,C18-C21,800,Colorectum,1,563,-,-,563,7.0,2.4,0.80
11,C22,800,Liver and intrahepatic bile ducts,1,1042,919,1182,1042,10.6,4.4,1.2
12,C23,800,Gallbladder,1,18,5,60,18,0.17,0.08,0.02
13,C25,800,Pancreas,1,98,55,174,98,1.3,0.41,0.14
14,C32,800,Larynx,1,149,111,200,149,2.2,0.62,0.27
15,C33-34,800,"Trachea, bronchus and lung",1,253,187,342,253,3.1,1.1,0.39
16,C43,800,Melanoma of skin,1,12,8,19,12,0.14,0.05,0.01
17,C44,800,Non-melanoma skin cancer,1,89,73,109,89,0.95,0.37,0.11
18,C45,800,Mesothelioma,1,16,4,63,16,0.11,0.07,0.01
19,C46,800,Kaposi sarcoma,1,1484,1400,1573,1484,8.7,6.2,0.79
26,C60,800,Penis,1,146,127,168,146,1.5,0.61,0.16
27,C61,800,Prostate,1,1554,1474,1639,1554,26.2,6.5,2.9
28,C62,800,Testis,1,26,19,36,26,0.25,0.11,0.03
29,C64,800,Kidney,1,192,141,261,192,1.6,0.80,0.16
30,C67,800,Bladder,1,103,80,132,103,1.6,0.43,0.16
31,C70-72,800," Brain, central nervous system",1,198,139,281,198,1.7,0.83,0.19
32,C73,800,Thyroid,1,29,23,37,29,0.46,0.12,0.05
33,C81,800,Hodgkin lymphoma,1,87,71,106,87,0.50,0.36,0.05
34,C82-86+C88,800,Non-Hodgkin lymphoma,1,804,742,872,804,6.1,3.4,0.63
35,C90,800,Multiple myeloma,1,100,59,168,100,1.5,0.42,0.17
36,C91-95,800,Leukaemia,1,344,281,421,344,2.4,1.4,0.25
