Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,840,All cancers,1,320641,319310,321978,320641,93.2,193.6,9.7
1,C00-06,840,"Lip, oral cavity",1,2650,2477,2835,2650,0.86,1.6,0.10
2,C07-08,840,Salivary glands,1,659,592,734,659,0.19,0.40,0.02
3,C09-10,840,Oropharynx,1,2642,2477,2818,2642,0.89,1.6,0.11
4,C11,840,Nasopharynx,1,622,543,712,622,0.22,0.38,0.03
5,C12-13,840,Hypopharynx,1,468,398,550,468,0.15,0.28,0.02
6,C15,840,Oesophagus,1,13278,12922,13644,13278,4.1,8.0,0.50
7,C16,840,Stomach,1,6612,6366,6867,6612,2.1,4.0,0.23
41,C18-C21,840,Colorectum,1,29651,-,-,29651,9.5,17.9,1.0
11,C22,840,Liver and intrahepatic bile ducts,1,20862,20300,21440,20862,6.4,12.6,0.83
12,C23,840,Gallbladder,1,707,639,783,707,0.20,0.43,0.02
13,C25,840,Pancreas,1,26054,25616,26500,26054,7.8,15.7,0.93
14,C32,840,Larynx,1,3113,2968,3266,3113,0.97,1.9,0.12
15,C33-34,840,"Trachea, bronchus and lung",1,66846,65744,67967,66846,19.0,40.4,2.2
16,C43,840,Melanoma of skin,1,4821,4599,5054,4821,1.4,2.9,0.14
17,C44,840,Non-melanoma skin cancer,1,3464,3268,3672,3464,0.93,2.1,0.09
18,C45,840,Mesothelioma,1,1830,1725,1942,1830,0.45,1.1,0.04
19,C46,840,Kaposi sarcoma,1,86,60,124,86,0.04,0.05,0.00
26,C60,840,Penis,1,389,335,451,389,0.12,0.23,0.01
27,C61,840,Prostate,1,33746,33138,34365,33746,8.1,20.4,0.70
28,C62,840,Testis,1,504,429,593,504,0.26,0.30,0.02
29,C64,840,Kidney,1,9519,9235,9812,9519,2.8,5.8,0.32
30,C67,840,Bladder,1,12830,12506,13163,12830,3.1,7.7,0.27
31,C70-72,840," Brain, central nervous system",1,10600,10377,10828,10600,3.9,6.4,0.43
32,C73,840,Thyroid,1,1075,982,1177,1075,0.32,0.65,0.04
33,C81,840,Hodgkin lymphoma,1,539,469,619,539,0.19,0.33,0.02
34,C82-86+C88,840,Non-Hodgkin lymphoma,1,12224,11916,12540,12224,3.4,7.4,0.33
35,C90,840,Multiple myeloma,1,7374,7133,7623,7374,2.0,4.5,0.20
36,C91-95,840,Leukaemia,1,13877,13548,14214,13877,3.9,8.4,0.38
