Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,858,All cancers,1,4920,4773,5071,4920,168.1,291.0,17.2
1,C00-06,858,"Lip, oral cavity",1,57,34,95,57,2.2,3.4,0.26
2,C07-08,858,Salivary glands,1,10,3,32,10,0.28,0.59,0.02
3,C09-10,858,Oropharynx,1,23,11,50,23,0.88,1.4,0.11
4,C11,858,Nasopharynx,1,7,1,35,7,0.27,0.41,0.03
5,C12-13,858,Hypopharynx,1,7,1,40,7,0.24,0.41,0.03
6,C15,858,Oesophagus,1,166,124,222,166,6.0,9.8,0.72
7,C16,858,Stomach,1,252,200,317,252,8.9,14.9,1.0
41,C18-C21,858,Colorectum,1,587,-,-,587,19.2,34.7,2.0
11,C22,858,Liver and intrahepatic bile ducts,1,112,79,159,112,4.1,6.6,0.53
12,C23,858,Gallbladder,1,27,13,55,27,0.89,1.6,0.10
13,C25,858,Pancreas,1,307,249,379,307,10.7,18.2,1.2
14,C32,858,Larynx,1,114,84,155,114,4.3,6.7,0.55
15,C33-34,858,"Trachea, bronchus and lung",1,1140,1024,1269,1140,41.8,67.4,5.2
16,C43,858,Melanoma of skin,1,47,27,80,47,1.6,2.8,0.17
17,C44,858,Non-melanoma skin cancer,1,32,17,61,32,0.88,1.9,0.05
18,C45,858,Mesothelioma,1,9,3,31,9,0.31,0.53,0.05
19,C46,858,Kaposi sarcoma,1,1,0,8,1,0.05,0.06,0.00
26,C60,858,Penis,1,14,5,37,14,0.46,0.83,0.05
27,C61,858,Prostate,1,640,553,741,640,17.8,37.9,1.4
28,C62,858,Testis,1,14,6,34,14,0.67,0.83,0.05
29,C64,858,Kidney,1,204,159,262,204,7.2,12.1,0.84
30,C67,858,Bladder,1,197,152,256,197,6.0,11.7,0.62
31,C70-72,858," Brain, central nervous system",1,113,80,159,113,4.7,6.7,0.52
32,C73,858,Thyroid,1,6,1,27,6,0.19,0.35,0.01
33,C81,858,Hodgkin lymphoma,1,9,2,39,9,0.36,0.53,0.03
34,C82-86+C88,858,Non-Hodgkin lymphoma,1,128,93,175,128,4.6,7.6,0.51
35,C90,858,Multiple myeloma,1,68,44,105,68,2.3,4.0,0.26
36,C91-95,858,Leukaemia,1,125,90,174,125,4.3,7.4,0.39
