Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,704,All cancers,1,71385,70670,72107,71385,132.6,144.5,14.3
1,C00-06,704,"Lip, oral cavity",1,973,920,1029,973,1.8,2.0,0.20
2,C07-08,704,Salivary glands,1,105,93,119,105,0.19,0.21,0.02
3,C09-10,704,Oropharynx,1,310,279,344,310,0.55,0.63,0.06
4,C11,704,Nasopharynx,1,2465,2355,2580,2465,4.5,5.0,0.54
5,C12-13,704,Hypopharynx,1,994,942,1049,994,1.8,2.0,0.20
6,C15,704,Oesophagus,1,3104,2866,3362,3104,5.6,6.3,0.67
7,C16,704,Stomach,1,8164,7875,8463,8164,15.2,16.5,1.9
41,C18-C21,704,Colorectum,1,4612,-,-,4612,8.7,9.3,1.0
11,C22,704,Liver and intrahepatic bile ducts,1,18112,17541,18701,18112,33.3,36.7,3.8
12,C23,704,Gallbladder,1,124,98,157,124,0.23,0.25,0.02
13,C25,704,Pancreas,1,779,661,918,779,1.4,1.6,0.17
14,C32,704,Larynx,1,1019,960,1082,1019,1.9,2.1,0.21
15,C33-34,704,"Trachea, bronchus and lung",1,15772,15261,16300,15772,29.3,31.9,3.6
16,C43,704,Melanoma of skin,1,65,48,89,65,0.12,0.13,0.01
17,C44,704,Non-melanoma skin cancer,1,244,229,260,244,0.45,0.49,0.05
18,C45,704,Mesothelioma,1,107,66,172,107,0.20,0.22,0.02
19,C46,704,Kaposi sarcoma,1,74,53,103,74,0.15,0.15,0.02
26,C60,704,Penis,1,152,140,166,152,0.28,0.31,0.03
27,C61,704,Prostate,1,2800,2720,2882,2800,5.4,5.7,0.32
28,C62,704,Testis,1,62,58,66,62,0.13,0.13,0.01
29,C64,704,Kidney,1,530,495,568,530,1.0,1.1,0.11
30,C67,704,Bladder,1,783,740,829,783,1.5,1.6,0.17
31,C70-72,704," Brain, central nervous system",1,1302,1180,1436,1302,2.5,2.6,0.25
32,C73,704,Thyroid,1,185,181,189,185,0.35,0.37,0.04
33,C81,704,Hodgkin lymphoma,1,135,118,154,135,0.26,0.27,0.02
34,C82-86+C88,704,Non-Hodgkin lymphoma,1,1228,1153,1308,1228,2.3,2.5,0.26
35,C90,704,Multiple myeloma,1,296,225,389,296,0.55,0.60,0.06
36,C91-95,704,Leukaemia,1,2169,2038,2309,2169,4.3,4.4,0.41
