Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,887,All cancers,1,5515,5319,5718,5515,63.8,35.2,6.7
1,C00-06,887,"Lip, oral cavity",1,83,63,109,83,1.1,0.53,0.13
2,C07-08,887,Salivary glands,1,48,35,66,48,0.53,0.31,0.06
3,C09-10,887,Oropharynx,1,7,3,16,7,0.07,0.04,0.01
4,C11,887,Nasopharynx,1,207,173,248,207,1.7,1.3,0.16
5,C12-13,887,Hypopharynx,1,3,1,8,3,0.04,0.02,0.01
6,C15,887,Oesophagus,1,307,251,375,307,4.3,2.0,0.53
7,C16,887,Stomach,1,457,399,523,457,6.2,2.9,0.74
41,C18-C21,887,Colorectum,1,535,-,-,535,6.4,3.4,0.73
11,C22,887,Liver and intrahepatic bile ducts,1,446,369,540,446,5.9,2.8,0.68
12,C23,887,Gallbladder,1,3,1,12,3,0.05,0.02,0.01
13,C25,887,Pancreas,1,142,110,183,142,2.2,0.90,0.22
14,C32,887,Larynx,1,246,205,295,246,3.9,1.6,0.40
15,C33-34,887,"Trachea, bronchus and lung",1,434,364,518,434,4.9,2.8,0.55
16,C43,887,Melanoma of skin,1,15,9,25,15,0.16,0.10,0.02
17,C44,887,Non-melanoma skin cancer,1,96,80,115,96,1.3,0.61,0.12
18,C45,887,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,887,Kaposi sarcoma,1,6,4,10,6,0.05,0.04,0.00
26,C60,887,Penis,1,0,0,0,0,0.00,0.00,0.00
27,C61,887,Prostate,1,111,90,136,111,1.9,0.71,0.16
28,C62,887,Testis,1,12,9,16,12,0.08,0.08,0.01
29,C64,887,Kidney,1,75,58,97,75,0.65,0.48,0.06
30,C67,887,Bladder,1,169,145,196,169,2.3,1.1,0.28
31,C70-72,887," Brain, central nervous system",1,372,318,435,372,3.3,2.4,0.35
32,C73,887,Thyroid,1,39,36,43,39,0.58,0.25,0.06
33,C81,887,Hodgkin lymphoma,1,125,112,139,125,1.2,0.80,0.13
34,C82-86+C88,887,Non-Hodgkin lymphoma,1,349,311,392,349,3.2,2.2,0.32
35,C90,887,Multiple myeloma,1,13,6,28,13,0.17,0.08,0.02
36,C91-95,887,Leukaemia,1,411,359,471,411,3.7,2.6,0.36
