Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,4,All cancers,2,8561,8316,8813,8561,77.5,43.1,8.4
1,C00-06,4,"Lip, oral cavity",2,230,125,424,230,2.2,1.2,0.25
2,C07-08,4,Salivary glands,2,15,10,23,15,0.15,0.08,0.01
3,C09-10,4,Oropharynx,2,26,19,36,26,0.25,0.13,0.02
4,C11,4,Nasopharynx,2,30,20,46,30,0.21,0.15,0.02
5,C12-13,4,Hypopharynx,2,28,11,69,28,0.25,0.14,0.03
6,C15,4,Oesophagus,2,385,146,1018,385,3.8,1.9,0.44
7,C16,4,Stomach,2,696,604,803,696,7.3,3.5,0.84
41,C18-C21,4,Colorectum,2,352,-,-,352,3.4,1.8,0.38
11,C22,4,Liver and intrahepatic bile ducts,2,360,284,457,360,3.6,1.8,0.43
12,C23,4,Gallbladder,2,77,25,241,77,0.82,0.39,0.10
13,C25,4,Pancreas,2,153,70,337,153,1.5,0.77,0.18
14,C32,4,Larynx,2,35,8,151,35,0.31,0.18,0.03
15,C33-34,4,"Trachea, bronchus and lung",2,341,262,443,341,3.4,1.7,0.39
16,C43,4,Melanoma of skin,2,25,5,125,25,0.25,0.13,0.03
17,C44,4,Non-melanoma skin cancer,2,107,7,1574,107,1.2,0.54,0.10
18,C45,4,Mesothelioma,2,5,0,74,5,0.05,0.03,0.00
19,C46,4,Kaposi sarcoma,2,4,3,5,4,0.03,0.02,0.00
20,C50,4,Breast,2,1960,1296,2964,1960,17.9,9.9,2.0
21,C51,4,Vulva,2,23,16,33,23,0.21,0.12,0.02
22,C52,4,Vagina,2,14,8,23,14,0.14,0.07,0.02
23,C53,4,Cervix uteri,2,888,572,1379,888,7.9,4.5,0.89
24,C54,4,Corpus uteri,2,179,146,220,179,1.9,0.90,0.26
25,C56,4,Ovary,2,383,161,910,383,3.5,1.9,0.41
29,C64,4,Kidney,2,105,40,275,105,0.83,0.53,0.08
30,C67,4,Bladder,2,43,7,260,43,0.43,0.22,0.05
31,C70-72,4," Brain, central nervous system",2,421,303,584,421,3.0,2.1,0.29
32,C73,4,Thyroid,2,46,25,85,46,0.44,0.23,0.06
33,C81,4,Hodgkin lymphoma,2,43,3,633,43,0.28,0.22,0.03
34,C82-86+C88,4,Non-Hodgkin lymphoma,2,185,13,2722,185,1.4,0.93,0.15
35,C90,4,Multiple myeloma,2,46,3,677,46,0.47,0.23,0.06
36,C91-95,4,Leukaemia,2,342,167,699,342,2.1,1.7,0.18
