Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,31,All cancers,2,4713,4537,4896,4713,71.0,91.5,7.7
1,C00-06,31,"Lip, oral cavity",2,28,7,113,28,0.39,0.54,0.03
2,C07-08,31,Salivary glands,2,19,7,55,19,0.27,0.37,0.02
3,C09-10,31,Oropharynx,2,8,1,109,8,0.14,0.16,0.02
4,C11,31,Nasopharynx,2,8,1,52,8,0.12,0.16,0.02
5,C12-13,31,Hypopharynx,2,3,1,6,3,0.04,0.06,0.00
6,C15,31,Oesophagus,2,406,324,509,406,6.0,7.9,0.67
7,C16,31,Stomach,2,494,418,584,494,7.3,9.6,0.86
41,C18-C21,31,Colorectum,2,423,-,-,423,6.3,8.2,0.69
11,C22,31,Liver and intrahepatic bile ducts,2,311,251,385,311,4.6,6.0,0.53
12,C23,31,Gallbladder,2,32,13,76,32,0.48,0.62,0.07
13,C25,31,Pancreas,2,140,96,204,140,2.1,2.7,0.27
14,C32,31,Larynx,2,37,18,77,37,0.53,0.72,0.07
15,C33-34,31,"Trachea, bronchus and lung",2,289,229,364,289,4.3,5.6,0.46
16,C43,31,Melanoma of skin,2,16,6,44,16,0.22,0.31,0.02
17,C44,31,Non-melanoma skin cancer,2,28,12,63,28,0.40,0.54,0.03
18,C45,31,Mesothelioma,2,9,1,123,9,0.15,0.17,0.02
19,C46,31,Kaposi sarcoma,2,5,0,68,5,0.07,0.10,0.01
20,C50,31,Breast,2,794,666,946,794,11.8,15.4,1.3
21,C51,31,Vulva,2,10,2,59,10,0.16,0.19,0.02
22,C52,31,Vagina,2,1,0,14,1,0.02,0.02,0.00
23,C53,31,Cervix uteri,2,325,259,407,325,4.8,6.3,0.55
24,C54,31,Corpus uteri,2,104,66,164,104,1.5,2.0,0.19
25,C56,31,Ovary,2,256,189,346,256,3.9,5.0,0.44
29,C64,31,Kidney,2,58,31,108,58,0.89,1.1,0.09
30,C67,31,Bladder,2,62,35,110,62,0.93,1.2,0.09
31,C70-72,31," Brain, central nervous system",2,200,143,279,200,3.1,3.9,0.34
32,C73,31,Thyroid,2,39,15,105,39,0.61,0.76,0.07
33,C81,31,Hodgkin lymphoma,2,32,13,82,32,0.53,0.62,0.05
34,C82-86+C88,31,Non-Hodgkin lymphoma,2,100,62,161,100,1.5,1.9,0.17
35,C90,31,Multiple myeloma,2,41,11,150,41,0.66,0.80,0.09
36,C91-95,31,Leukaemia,2,137,87,216,137,2.4,2.7,0.22
