Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,204,All cancers,2,2599,2465,2740,2599,67.6,40.6,7.5
1,C00-06,204,"Lip, oral cavity",2,22,14,36,22,0.58,0.34,0.06
2,C07-08,204,Salivary glands,2,25,13,47,25,0.63,0.39,0.08
3,C09-10,204,Oropharynx,2,8,4,17,8,0.20,0.13,0.02
4,C11,204,Nasopharynx,2,20,11,36,20,0.49,0.31,0.05
5,C12-13,204,Hypopharynx,2,1,0,8,1,0.03,0.02,0.00
6,C15,204,Oesophagus,2,96,54,171,96,2.7,1.5,0.34
7,C16,204,Stomach,2,112,78,162,112,3.0,1.8,0.30
41,C18-C21,204,Colorectum,2,135,-,-,135,3.6,2.1,0.38
11,C22,204,Liver and intrahepatic bile ducts,2,194,129,292,194,5.0,3.0,0.47
12,C23,204,Gallbladder,2,16,5,47,16,0.31,0.25,0.03
13,C25,204,Pancreas,2,94,53,167,94,2.6,1.5,0.26
14,C32,204,Larynx,2,3,0,44,3,0.06,0.05,0.01
15,C33-34,204,"Trachea, bronchus and lung",2,39,17,87,39,1.0,0.61,0.12
16,C43,204,Melanoma of skin,2,10,3,32,10,0.31,0.16,0.02
17,C44,204,Non-melanoma skin cancer,2,25,19,34,25,0.71,0.39,0.11
18,C45,204,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,204,Kaposi sarcoma,2,5,0,74,5,0.10,0.08,0.01
20,C50,204,Breast,2,734,676,797,734,18.9,11.5,2.2
21,C51,204,Vulva,2,20,10,40,20,0.50,0.31,0.04
22,C52,204,Vagina,2,7,3,19,7,0.22,0.11,0.03
23,C53,204,Cervix uteri,2,475,414,545,475,12.8,7.4,1.6
24,C54,204,Corpus uteri,2,54,45,64,54,1.6,0.84,0.23
25,C56,204,Ovary,2,73,49,109,73,2.0,1.1,0.21
29,C64,204,Kidney,2,23,12,44,23,0.56,0.36,0.09
30,C67,204,Bladder,2,6,2,16,6,0.19,0.09,0.03
31,C70-72,204," Brain, central nervous system",2,29,12,73,29,0.70,0.45,0.08
32,C73,204,Thyroid,2,16,11,23,16,0.44,0.25,0.03
33,C81,204,Hodgkin lymphoma,2,6,3,12,6,0.08,0.09,0.00
34,C82-86+C88,204,Non-Hodgkin lymphoma,2,58,39,87,58,1.5,0.91,0.20
35,C90,204,Multiple myeloma,2,28,13,59,28,0.80,0.44,0.10
36,C91-95,204,Leukaemia,2,83,58,119,83,1.9,1.3,0.18
