Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,72,All cancers,2,725,656,801,725,64.8,57.7,6.8
1,C00-06,72,"Lip, oral cavity",2,5,2,14,5,0.45,0.40,0.05
2,C07-08,72,Salivary glands,2,0,0,0,0,0.00,0.00,0.00
3,C09-10,72,Oropharynx,2,1,0,15,1,0.11,0.08,0.01
4,C11,72,Nasopharynx,2,2,0,29,2,0.15,0.16,0.01
5,C12-13,72,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,72,Oesophagus,2,40,20,81,40,4.0,3.2,0.49
7,C16,72,Stomach,2,8,2,31,8,0.75,0.64,0.09
41,C18-C21,72,Colorectum,2,25,-,-,25,2.1,2.0,0.25
11,C22,72,Liver and intrahepatic bile ducts,2,14,3,59,14,1.3,1.1,0.17
12,C23,72,Gallbladder,2,0,0,0,0,0.00,0.00,0.00
13,C25,72,Pancreas,2,7,0,103,7,0.63,0.56,0.08
14,C32,72,Larynx,2,3,0,44,3,0.30,0.24,0.04
15,C33-34,72,"Trachea, bronchus and lung",2,17,5,53,17,1.7,1.4,0.21
16,C43,72,Melanoma of skin,2,6,4,9,6,0.60,0.48,0.08
17,C44,72,Non-melanoma skin cancer,2,9,8,10,9,0.92,0.72,0.09
18,C45,72,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,72,Kaposi sarcoma,2,56,42,75,56,4.1,4.5,0.33
20,C50,72,Breast,2,91,81,102,91,8.3,7.2,0.89
21,C51,72,Vulva,2,15,10,22,15,1.2,1.2,0.12
22,C52,72,Vagina,2,3,2,5,3,0.19,0.24,0.02
23,C53,72,Cervix uteri,2,253,221,289,253,22.8,20.1,2.5
24,C54,72,Corpus uteri,2,11,9,13,11,1.1,0.88,0.13
25,C56,72,Ovary,2,22,11,46,22,2.1,1.8,0.27
29,C64,72,Kidney,2,5,2,12,5,0.48,0.40,0.05
30,C67,72,Bladder,2,4,2,11,4,0.41,0.32,0.03
31,C70-72,72," Brain, central nervous system",2,6,1,27,6,0.51,0.48,0.03
32,C73,72,Thyroid,2,3,2,5,3,0.29,0.24,0.04
33,C81,72,Hodgkin lymphoma,2,4,3,5,4,0.33,0.32,0.03
34,C82-86+C88,72,Non-Hodgkin lymphoma,2,26,17,41,26,2.2,2.1,0.23
35,C90,72,Multiple myeloma,2,9,1,54,9,0.91,0.72,0.13
36,C91-95,72,Leukaemia,2,13,4,41,13,1.1,1.0,0.11
