Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,120,All cancers,2,7486,7257,7722,7486,95.8,53.7,10.3
1,C00-06,120,"Lip, oral cavity",2,60,4,883,60,0.91,0.43,0.11
2,C07-08,120,Salivary glands,2,62,4,912,62,0.89,0.44,0.12
3,C09-10,120,Oropharynx,2,20,1,294,20,0.29,0.14,0.03
4,C11,120,Nasopharynx,2,102,7,1501,102,1.3,0.73,0.15
5,C12-13,120,Hypopharynx,2,11,1,162,11,0.18,0.08,0.02
6,C15,120,Oesophagus,2,79,5,1162,79,1.2,0.57,0.12
7,C16,120,Stomach,2,210,38,1166,210,3.0,1.5,0.33
41,C18-C21,120,Colorectum,2,292,-,-,292,4.0,2.1,0.46
11,C22,120,Liver and intrahepatic bile ducts,2,234,172,318,234,3.0,1.7,0.35
12,C23,120,Gallbladder,2,12,1,177,12,0.17,0.09,0.02
13,C25,120,Pancreas,2,49,25,95,49,0.70,0.35,0.08
14,C32,120,Larynx,2,7,3,16,7,0.10,0.05,0.01
15,C33-34,120,"Trachea, bronchus and lung",2,125,16,1004,125,1.9,0.90,0.21
16,C43,120,Melanoma of skin,2,32,19,54,32,0.51,0.23,0.05
17,C44,120,Non-melanoma skin cancer,2,53,4,780,53,0.77,0.38,0.10
18,C45,120,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,120,Kaposi sarcoma,2,217,15,3192,217,2.0,1.6,0.19
20,C50,120,Breast,2,2285,1879,2779,2285,27.4,16.4,3.0
21,C51,120,Vulva,2,32,2,471,32,0.44,0.23,0.04
22,C52,120,Vagina,2,30,2,441,30,0.38,0.22,0.04
23,C53,120,Cervix uteri,2,1837,1465,2304,1837,25.7,13.2,2.9
24,C54,120,Corpus uteri,2,77,28,209,77,1.2,0.55,0.15
25,C56,120,Ovary,2,406,201,819,406,5.3,2.9,0.64
29,C64,120,Kidney,2,34,20,57,34,0.35,0.24,0.04
30,C67,120,Bladder,2,35,8,160,35,0.56,0.25,0.06
31,C70-72,120," Brain, central nervous system",2,43,3,577,43,0.42,0.31,0.04
32,C73,120,Thyroid,2,43,3,633,43,0.60,0.31,0.08
33,C81,120,Hodgkin lymphoma,2,17,1,250,17,0.16,0.12,0.02
34,C82-86+C88,120,Non-Hodgkin lymphoma,2,421,29,6193,421,4.7,3.0,0.50
35,C90,120,Multiple myeloma,2,37,16,83,37,0.54,0.27,0.06
36,C91-95,120,Leukaemia,2,129,45,370,129,1.5,0.92,0.16
