Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,160,All cancers,2,944888,942985,946795,944888,67.8,136.8,7.1
1,C00-06,160,"Lip, oral cavity",2,6787,5756,8003,6787,0.45,0.98,0.05
2,C07-08,160,Salivary glands,2,1348,866,2097,1348,0.10,0.20,0.01
3,C09-10,160,Oropharynx,2,893,416,1915,893,0.06,0.13,0.01
4,C11,160,Nasopharynx,2,7127,6592,7705,7127,0.56,1.0,0.06
5,C12-13,160,Hypopharynx,2,325,178,595,325,0.02,0.05,0.00
6,C15,160,Oesophagus,2,47077,46209,47961,47077,2.9,6.8,0.30
7,C16,160,Stomach,2,78810,77282,80368,78810,5.3,11.4,0.56
41,C18-C21,160,Colorectum,2,97411,-,-,97411,6.5,14.1,0.66
11,C22,160,Liver and intrahepatic bile ducts,2,86767,84533,89060,86767,6.2,12.6,0.69
12,C23,160,Gallbladder,2,14739,13819,15720,14739,0.99,2.1,0.11
13,C25,160,Pancreas,2,45224,42861,47717,45224,3.1,6.6,0.35
14,C32,160,Larynx,2,1828,1563,2138,1828,0.12,0.26,0.01
15,C33-34,160,"Trachea, bronchus and lung",2,217382,213519,221314,217382,14.7,31.5,1.6
16,C43,160,Melanoma of skin,2,2521,1866,3406,2521,0.18,0.36,0.02
17,C44,160,Non-melanoma skin cancer,2,6321,5194,7692,6321,0.37,0.92,0.03
18,C45,160,Mesothelioma,2,661,559,782,661,0.05,0.10,0.01
19,C46,160,Kaposi sarcoma,2,193,27,1370,193,0.02,0.03,0.00
20,C50,160,Breast,2,74986,72510,77546,74986,6.1,10.9,0.67
21,C51,160,Vulva,2,1956,1272,3008,1956,0.14,0.28,0.01
22,C52,160,Vagina,2,1057,585,1911,1057,0.08,0.15,0.01
23,C53,160,Cervix uteri,2,55694,53049,58471,55694,4.5,8.1,0.51
24,C54,160,Corpus uteri,2,13511,12582,14509,13511,1.1,2.0,0.12
25,C56,160,Ovary,2,32646,31008,34371,32646,2.6,4.7,0.31
29,C64,160,Kidney,2,7601,6751,8559,7601,0.54,1.1,0.06
30,C67,160,Bladder,2,8842,7374,10602,8842,0.52,1.3,0.04
31,C70-72,160," Brain, central nervous system",2,25069,22137,28389,25069,2.2,3.6,0.22
32,C73,160,Thyroid,2,7238,6144,8527,7238,0.55,1.1,0.06
33,C81,160,Hodgkin lymphoma,2,728,581,913,728,0.06,0.11,0.01
34,C82-86+C88,160,Non-Hodgkin lymphoma,2,15800,14586,17115,15800,1.2,2.3,0.13
35,C90,160,Multiple myeloma,2,7984,6839,9321,7984,0.60,1.2,0.08
36,C91-95,160,Leukaemia,2,20916,19941,21938,20916,2.0,3.0,0.20
