Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,384,All cancers,2,7459,7230,7695,7459,96.8,54.2,10.1
1,C00-06,384,"Lip, oral cavity",2,67,50,90,67,1.1,0.49,0.10
2,C07-08,384,Salivary glands,2,39,26,58,39,0.55,0.28,0.04
3,C09-10,384,Oropharynx,2,14,6,33,14,0.17,0.10,0.02
4,C11,384,Nasopharynx,2,31,21,46,31,0.26,0.23,0.02
5,C12-13,384,Hypopharynx,2,6,1,27,6,0.10,0.04,0.00
6,C15,384,Oesophagus,2,39,19,82,39,0.58,0.28,0.05
7,C16,384,Stomach,2,281,223,354,281,4.5,2.0,0.46
41,C18-C21,384,Colorectum,2,346,-,-,346,4.7,2.5,0.55
11,C22,384,Liver and intrahepatic bile ducts,2,391,315,485,391,5.3,2.8,0.60
12,C23,384,Gallbladder,2,72,44,118,72,0.88,0.52,0.09
13,C25,384,Pancreas,2,145,101,207,145,2.3,1.1,0.27
14,C32,384,Larynx,2,6,1,27,6,0.09,0.04,0.01
15,C33-34,384,"Trachea, bronchus and lung",2,79,54,116,79,1.2,0.57,0.15
16,C43,384,Melanoma of skin,2,17,12,25,17,0.26,0.12,0.03
17,C44,384,Non-melanoma skin cancer,2,43,38,48,43,0.64,0.31,0.09
18,C45,384,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,384,Kaposi sarcoma,2,57,44,73,57,0.59,0.41,0.05
20,C50,384,Breast,2,2092,2002,2186,2092,25.4,15.2,2.7
21,C51,384,Vulva,2,19,12,30,19,0.24,0.14,0.03
22,C52,384,Vagina,2,42,25,70,42,0.58,0.31,0.05
23,C53,384,Cervix uteri,2,1461,1374,1553,1461,20.4,10.6,2.3
24,C54,384,Corpus uteri,2,82,76,89,82,1.4,0.60,0.16
25,C56,384,Ovary,2,243,202,293,243,3.4,1.8,0.42
29,C64,384,Kidney,2,119,84,168,119,1.3,0.86,0.12
30,C67,384,Bladder,2,28,20,39,28,0.44,0.20,0.05
31,C70-72,384," Brain, central nervous system",2,92,63,135,92,1.3,0.67,0.16
32,C73,384,Thyroid,2,37,32,43,37,0.58,0.27,0.06
33,C81,384,Hodgkin lymphoma,2,21,16,28,21,0.20,0.15,0.02
34,C82-86+C88,384,Non-Hodgkin lymphoma,2,278,242,320,278,3.2,2.0,0.32
35,C90,384,Multiple myeloma,2,82,50,133,82,1.1,0.60,0.15
36,C91-95,384,Leukaemia,2,82,60,113,82,0.85,0.60,0.09
