Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,191,All cancers,2,5725,5549,5906,5725,91.9,272.7,10.1
1,C00-06,191,"Lip, oral cavity",2,37,25,55,37,0.55,1.8,0.06
2,C07-08,191,Salivary glands,2,10,5,20,10,0.11,0.48,0.01
3,C09-10,191,Oropharynx,2,12,7,22,12,0.19,0.57,0.02
4,C11,191,Nasopharynx,2,2,1,7,2,0.03,0.10,0.00
5,C12-13,191,Hypopharynx,2,8,4,17,8,0.19,0.38,0.02
6,C15,191,Oesophagus,2,27,19,39,27,0.45,1.3,0.05
7,C16,191,Stomach,2,271,232,316,271,3.9,12.9,0.43
41,C18-C21,191,Colorectum,2,916,-,-,916,12.7,43.6,1.4
11,C22,191,Liver and intrahepatic bile ducts,2,161,127,205,161,2.3,7.7,0.26
12,C23,191,Gallbladder,2,74,52,105,74,1.0,3.5,0.12
13,C25,191,Pancreas,2,394,340,456,394,5.8,18.8,0.70
14,C32,191,Larynx,2,11,6,20,11,0.15,0.52,0.02
15,C33-34,191,"Trachea, bronchus and lung",2,888,792,996,888,16.3,42.3,2.1
16,C43,191,Melanoma of skin,2,80,58,111,80,1.4,3.8,0.15
17,C44,191,Non-melanoma skin cancer,2,67,51,88,67,0.50,3.2,0.02
18,C45,191,Mesothelioma,2,12,6,24,12,0.20,0.57,0.03
19,C46,191,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,191,Breast,2,612,539,694,612,11.7,29.2,1.4
21,C51,191,Vulva,2,59,43,80,59,0.63,2.8,0.06
22,C52,191,Vagina,2,10,5,20,10,0.12,0.48,0.01
23,C53,191,Cervix uteri,2,138,107,179,138,2.9,6.6,0.33
24,C54,191,Corpus uteri,2,174,140,217,174,2.7,8.3,0.33
25,C56,191,Ovary,2,340,290,398,340,6.4,16.2,0.77
29,C64,191,Kidney,2,146,116,184,146,2.1,7.0,0.24
30,C67,191,Bladder,2,166,133,207,166,2.0,7.9,0.20
31,C70-72,191," Brain, central nervous system",2,175,142,215,175,3.8,8.3,0.41
32,C73,191,Thyroid,2,20,13,32,20,0.27,0.95,0.03
33,C81,191,Hodgkin lymphoma,2,10,5,21,10,0.19,0.48,0.02
34,C82-86+C88,191,Non-Hodgkin lymphoma,2,167,135,206,167,2.4,8.0,0.27
35,C90,191,Multiple myeloma,2,95,67,134,95,1.4,4.5,0.16
36,C91-95,191,Leukaemia,2,194,167,226,194,2.8,9.2,0.29
