Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,222,All cancers,2,3002,2879,3130,3002,64.6,86.1,6.3
1,C00-06,222,"Lip, oral cavity",2,33,17,64,33,0.63,0.95,0.06
2,C07-08,222,Salivary glands,2,5,1,49,5,0.10,0.14,0.01
3,C09-10,222,Oropharynx,2,3,0,30,3,0.05,0.09,0.01
4,C11,222,Nasopharynx,2,3,0,30,3,0.06,0.09,0.00
5,C12-13,222,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,222,Oesophagus,2,31,16,59,31,0.58,0.89,0.06
7,C16,222,Stomach,2,293,242,354,293,6.0,8.4,0.60
41,C18-C21,222,Colorectum,2,215,-,-,215,4.3,6.2,0.40
11,C22,222,Liver and intrahepatic bile ducts,2,244,192,311,244,5.0,7.0,0.53
12,C23,222,Gallbladder,2,56,35,89,56,1.2,1.6,0.14
13,C25,222,Pancreas,2,100,70,143,100,2.0,2.9,0.23
14,C32,222,Larynx,2,5,1,49,5,0.11,0.14,0.01
15,C33-34,222,"Trachea, bronchus and lung",2,179,137,235,179,3.7,5.1,0.39
16,C43,222,Melanoma of skin,2,5,1,19,5,0.09,0.14,0.01
17,C44,222,Non-melanoma skin cancer,2,31,16,61,31,0.53,0.89,0.04
18,C45,222,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,222,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,222,Breast,2,332,242,455,332,7.8,9.5,0.81
21,C51,222,Vulva,2,14,5,36,14,0.25,0.40,0.02
22,C52,222,Vagina,2,4,1,21,4,0.08,0.11,0.01
23,C53,222,Cervix uteri,2,367,301,447,367,8.4,10.5,0.89
24,C54,222,Corpus uteri,2,36,20,66,36,0.81,1.0,0.09
25,C56,222,Ovary,2,116,81,166,116,2.7,3.3,0.29
29,C64,222,Kidney,2,27,13,58,27,0.60,0.77,0.06
30,C67,222,Bladder,2,26,13,50,26,0.42,0.75,0.03
31,C70-72,222," Brain, central nervous system",2,120,85,169,120,2.7,3.4,0.26
32,C73,222,Thyroid,2,26,11,59,26,0.52,0.75,0.05
33,C81,222,Hodgkin lymphoma,2,8,2,31,8,0.17,0.23,0.02
34,C82-86+C88,222,Non-Hodgkin lymphoma,2,48,29,79,48,1.1,1.4,0.12
35,C90,222,Multiple myeloma,2,25,12,51,25,0.57,0.72,0.07
36,C91-95,222,Leukaemia,2,215,160,290,215,5.0,6.2,0.44
