Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,226,All cancers,2,310,266,361,310,82.6,46.7,8.9
1,C00-06,226,"Lip, oral cavity",2,3,2,5,3,1.2,0.45,0.21
2,C07-08,226,Salivary glands,2,0,0,0,0,0.00,0.00,0.00
3,C09-10,226,Oropharynx,2,1,0,15,1,0.40,0.15,0.05
4,C11,226,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,226,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,226,Oesophagus,2,2,1,4,2,0.43,0.30,0.04
7,C16,226,Stomach,2,9,2,42,9,2.5,1.4,0.27
41,C18-C21,226,Colorectum,2,12,-,-,12,2.8,1.8,0.27
11,C22,226,Liver and intrahepatic bile ducts,2,16,12,21,16,4.7,2.4,0.56
12,C23,226,Gallbladder,2,1,0,4,1,0.30,0.15,0.04
13,C25,226,Pancreas,2,6,4,8,6,1.9,0.90,0.22
14,C32,226,Larynx,2,0,0,0,0,0.00,0.00,0.00
15,C33-34,226,"Trachea, bronchus and lung",2,9,4,20,9,2.5,1.4,0.30
16,C43,226,Melanoma of skin,2,0,0,0,0,0.00,0.00,0.00
17,C44,226,Non-melanoma skin cancer,2,2,2,3,2,0.67,0.30,0.09
18,C45,226,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,226,Kaposi sarcoma,2,8,4,17,8,1.5,1.2,0.12
20,C50,226,Breast,2,87,77,99,87,21.4,13.1,2.2
21,C51,226,Vulva,2,0,0,0,0,0.00,0.00,0.00
22,C52,226,Vagina,2,1,0,2,1,0.14,0.15,0.01
23,C53,226,Cervix uteri,2,76,66,88,76,21.9,11.4,2.5
24,C54,226,Corpus uteri,2,4,3,5,4,1.3,0.60,0.21
25,C56,226,Ovary,2,16,13,20,16,4.8,2.4,0.54
29,C64,226,Kidney,2,1,1,1,1,0.40,0.15,0.05
30,C67,226,Bladder,2,2,1,5,2,0.71,0.30,0.10
31,C70-72,226," Brain, central nervous system",2,3,1,7,3,0.72,0.45,0.07
32,C73,226,Thyroid,2,0,0,0,0,0.00,0.00,0.00
33,C81,226,Hodgkin lymphoma,2,1,0,11,1,0.14,0.15,0.01
34,C82-86+C88,226,Non-Hodgkin lymphoma,2,15,9,26,15,3.5,2.3,0.38
35,C90,226,Multiple myeloma,2,3,1,12,3,0.99,0.45,0.12
36,C91-95,226,Leukaemia,2,7,2,23,7,1.5,1.1,0.15
