Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,748,All cancers,2,466,411,528,466,110.9,77.6,11.3
1,C00-06,748,"Lip, oral cavity",2,1,0,3,1,0.33,0.17,0.05
2,C07-08,748,Salivary glands,2,0,0,0,0,0.00,0.00,0.00
3,C09-10,748,Oropharynx,2,0,0,0,0,0.00,0.00,0.00
4,C11,748,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,748,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,748,Oesophagus,2,5,0,55,5,1.5,0.83,0.17
7,C16,748,Stomach,2,2,0,29,2,0.66,0.33,0.07
41,C18-C21,748,Colorectum,2,20,-,-,20,4.8,3.3,0.53
11,C22,748,Liver and intrahepatic bile ducts,2,13,4,47,13,2.7,2.2,0.23
12,C23,748,Gallbladder,2,0,0,0,0,0.00,0.00,0.00
13,C25,748,Pancreas,2,4,0,59,4,1.1,0.67,0.12
14,C32,748,Larynx,2,0,0,0,0,0.00,0.00,0.00
15,C33-34,748,"Trachea, bronchus and lung",2,10,3,36,10,2.4,1.7,0.25
16,C43,748,Melanoma of skin,2,1,0,10,1,0.16,0.17,0.00
17,C44,748,Non-melanoma skin cancer,2,6,5,8,6,1.8,1.0,0.24
18,C45,748,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,748,Kaposi sarcoma,2,19,11,32,19,3.3,3.2,0.26
20,C50,748,Breast,2,47,38,58,47,11.3,7.8,1.1
21,C51,748,Vulva,2,16,8,30,16,3.6,2.7,0.34
22,C52,748,Vagina,2,3,0,44,3,0.73,0.50,0.07
23,C53,748,Cervix uteri,2,269,229,316,269,64.3,44.8,6.9
24,C54,748,Corpus uteri,2,1,0,10,1,0.16,0.17,0.00
25,C56,748,Ovary,2,9,4,20,9,2.3,1.5,0.30
29,C64,748,Kidney,2,1,1,2,1,0.42,0.17,0.05
30,C67,748,Bladder,2,2,1,8,2,0.82,0.33,0.10
31,C70-72,748," Brain, central nervous system",2,3,1,13,3,0.52,0.50,0.03
32,C73,748,Thyroid,2,2,1,8,2,0.57,0.33,0.11
33,C81,748,Hodgkin lymphoma,2,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,748,Non-Hodgkin lymphoma,2,6,2,15,6,1.6,1.0,0.18
35,C90,748,Multiple myeloma,2,1,0,15,1,0.33,0.17,0.03
36,C91-95,748,Leukaemia,2,5,2,14,5,1.1,0.83,0.07
