Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,246,All cancers,2,6173,5984,6367,6173,67.8,219.4,7.3
1,C00-06,246,"Lip, oral cavity",2,48,37,63,48,0.50,1.7,0.06
2,C07-08,246,Salivary glands,2,9,4,19,9,0.08,0.32,0.01
3,C09-10,246,Oropharynx,2,6,3,12,6,0.07,0.21,0.01
4,C11,246,Nasopharynx,2,3,1,11,3,0.03,0.11,0.00
5,C12-13,246,Hypopharynx,2,2,1,6,2,0.02,0.07,0.00
6,C15,246,Oesophagus,2,93,67,129,93,1.0,3.3,0.11
7,C16,246,Stomach,2,170,133,217,170,2.0,6.0,0.22
41,C18-C21,246,Colorectum,2,699,-,-,699,6.9,24.8,0.74
11,C22,246,Liver and intrahepatic bile ducts,2,209,167,262,209,2.1,7.4,0.23
12,C23,246,Gallbladder,2,45,34,60,45,0.49,1.6,0.06
13,C25,246,Pancreas,2,720,620,837,720,7.3,25.6,0.85
14,C32,246,Larynx,2,9,4,22,9,0.11,0.32,0.02
15,C33-34,246,"Trachea, bronchus and lung",2,858,762,966,858,9.5,30.5,1.2
16,C43,246,Melanoma of skin,2,81,53,125,81,1.0,2.9,0.11
17,C44,246,Non-melanoma skin cancer,2,22,13,36,22,0.13,0.78,0.01
18,C45,246,Mesothelioma,2,25,16,40,25,0.30,0.89,0.03
19,C46,246,Kaposi sarcoma,2,1,0,10,1,0.00,0.04,0.00
20,C50,246,Breast,2,879,799,967,879,11.9,31.2,1.4
21,C51,246,Vulva,2,40,28,57,40,0.35,1.4,0.04
22,C52,246,Vagina,2,12,6,22,12,0.12,0.43,0.01
23,C53,246,Cervix uteri,2,65,49,86,65,1.3,2.3,0.14
24,C54,246,Corpus uteri,2,220,180,269,220,2.3,7.8,0.27
25,C56,246,Ovary,2,300,259,347,300,3.7,10.7,0.45
29,C64,246,Kidney,2,142,112,180,142,1.2,5.1,0.13
30,C67,246,Bladder,2,91,63,131,91,0.69,3.2,0.06
31,C70-72,246," Brain, central nervous system",2,159,127,200,159,2.6,5.7,0.27
32,C73,246,Thyroid,2,34,23,50,34,0.29,1.2,0.03
33,C81,246,Hodgkin lymphoma,2,14,8,24,14,0.10,0.50,0.01
34,C82-86+C88,246,Non-Hodgkin lymphoma,2,207,170,251,207,1.8,7.4,0.18
35,C90,246,Multiple myeloma,2,149,119,187,149,1.3,5.3,0.14
36,C91-95,246,Leukaemia,2,175,141,217,175,1.9,6.2,0.16
