Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,266,All cancers,2,614,551,684,614,76.8,53.6,8.1
1,C00-06,266,"Lip, oral cavity",2,6,3,12,6,0.94,0.52,0.13
2,C07-08,266,Salivary glands,2,1,1,2,1,0.16,0.09,0.04
3,C09-10,266,Oropharynx,2,3,0,44,3,0.47,0.26,0.04
4,C11,266,Nasopharynx,2,3,0,43,3,0.43,0.26,0.05
5,C12-13,266,Hypopharynx,2,1,0,15,1,0.18,0.09,0.02
6,C15,266,Oesophagus,2,9,1,54,9,1.1,0.79,0.12
7,C16,266,Stomach,2,10,4,27,10,1.3,0.87,0.14
41,C18-C21,266,Colorectum,2,29,-,-,29,3.5,2.5,0.41
11,C22,266,Liver and intrahepatic bile ducts,2,59,34,104,59,7.6,5.2,0.86
12,C23,266,Gallbladder,2,3,0,29,3,0.38,0.26,0.04
13,C25,266,Pancreas,2,26,11,62,26,3.4,2.3,0.37
14,C32,266,Larynx,2,0,0,0,0,0.00,0.00,0.00
15,C33-34,266,"Trachea, bronchus and lung",2,19,7,51,19,2.6,1.7,0.29
16,C43,266,Melanoma of skin,2,2,1,3,2,0.25,0.17,0.02
17,C44,266,Non-melanoma skin cancer,2,3,2,4,3,0.47,0.26,0.08
18,C45,266,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,266,Kaposi sarcoma,2,11,6,20,11,1.1,0.96,0.11
20,C50,266,Breast,2,113,103,124,113,13.2,9.9,1.4
21,C51,266,Vulva,2,0,0,0,0,0.00,0.00,0.00
22,C52,266,Vagina,2,2,1,5,2,0.16,0.17,0.01
23,C53,266,Cervix uteri,2,139,119,162,139,17.8,12.1,1.9
24,C54,266,Corpus uteri,2,7,6,9,7,1.0,0.61,0.15
25,C56,266,Ovary,2,47,31,71,47,6.2,4.1,0.71
29,C64,266,Kidney,2,8,4,16,8,0.96,0.70,0.12
30,C67,266,Bladder,2,5,1,19,5,0.68,0.44,0.04
31,C70-72,266," Brain, central nervous system",2,8,2,31,8,0.79,0.70,0.07
32,C73,266,Thyroid,2,2,2,3,2,0.36,0.17,0.05
33,C81,266,Hodgkin lymphoma,2,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,266,Non-Hodgkin lymphoma,2,21,13,33,21,2.5,1.8,0.27
35,C90,266,Multiple myeloma,2,7,1,45,7,1.0,0.61,0.13
36,C91-95,266,Leukaemia,2,10,4,27,10,1.0,0.87,0.10
