Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,348,All cancers,2,15127,14833,15427,15127,112.2,300.7,12.4
1,C00-06,348,"Lip, oral cavity",2,137,108,174,137,1.2,2.7,0.15
2,C07-08,348,Salivary glands,2,29,19,44,29,0.19,0.58,0.02
3,C09-10,348,Oropharynx,2,58,38,89,58,0.51,1.2,0.07
4,C11,348,Nasopharynx,2,14,9,23,14,0.14,0.28,0.02
5,C12-13,348,Hypopharynx,2,49,37,65,49,0.50,0.97,0.06
6,C15,348,Oesophagus,2,92,70,121,92,0.67,1.8,0.09
7,C16,348,Stomach,2,552,494,617,552,3.6,11.0,0.39
41,C18-C21,348,Colorectum,2,2138,-,-,2138,13.6,42.5,1.5
11,C22,348,Liver and intrahepatic bile ducts,2,292,249,343,292,2.0,5.8,0.24
12,C23,348,Gallbladder,2,111,90,137,111,0.66,2.2,0.07
13,C25,348,Pancreas,2,1193,1088,1308,1193,8.0,23.7,0.94
14,C32,348,Larynx,2,58,41,81,58,0.56,1.2,0.07
15,C33-34,348,"Trachea, bronchus and lung",2,3572,3407,3745,3572,28.9,71.0,3.7
16,C43,348,Melanoma of skin,2,141,112,178,141,1.1,2.8,0.12
17,C44,348,Non-melanoma skin cancer,2,119,90,158,119,0.59,2.4,0.04
18,C45,348,Mesothelioma,2,20,12,33,20,0.17,0.40,0.02
19,C46,348,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,348,Breast,2,2237,2092,2392,2237,16.9,44.5,1.9
21,C51,348,Vulva,2,114,88,148,114,0.60,2.3,0.06
22,C52,348,Vagina,2,30,20,45,30,0.19,0.60,0.02
23,C53,348,Cervix uteri,2,482,415,560,482,4.8,9.6,0.53
24,C54,348,Corpus uteri,2,393,338,458,393,2.6,7.8,0.32
25,C56,348,Ovary,2,702,634,777,702,5.7,14.0,0.68
29,C64,348,Kidney,2,291,251,337,291,1.9,5.8,0.22
30,C67,348,Bladder,2,336,277,408,336,2.0,6.7,0.23
31,C70-72,348," Brain, central nervous system",2,314,264,373,314,3.2,6.2,0.34
32,C73,348,Thyroid,2,53,40,70,53,0.34,1.1,0.04
33,C81,348,Hodgkin lymphoma,2,21,13,34,21,0.22,0.42,0.02
34,C82-86+C88,348,Non-Hodgkin lymphoma,2,270,231,316,270,1.9,5.4,0.22
35,C90,348,Multiple myeloma,2,140,112,176,140,0.97,2.8,0.12
36,C91-95,348,Leukaemia,2,422,358,498,422,3.2,8.4,0.33
