Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,352,All cancers,2,320,278,368,320,77.0,186.2,8.2
1,C00-06,352,"Lip, oral cavity",2,1,0,3,1,0.12,0.58,0.00
2,C07-08,352,Salivary glands,2,0,0,0,0,0.00,0.00,0.00
3,C09-10,352,Oropharynx,2,0,0,0,0,0.00,0.00,0.00
4,C11,352,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,352,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,352,Oesophagus,2,4,2,10,4,0.72,2.3,0.07
7,C16,352,Stomach,2,8,4,17,8,1.9,4.7,0.22
41,C18-C21,352,Colorectum,2,43,-,-,43,9.9,25.0,1.0
11,C22,352,Liver and intrahepatic bile ducts,2,6,3,14,6,1.4,3.5,0.17
12,C23,352,Gallbladder,2,3,0,30,3,0.44,1.8,0.00
13,C25,352,Pancreas,2,23,14,37,23,5.2,13.4,0.65
14,C32,352,Larynx,2,0,0,0,0,0.00,0.00,0.00
15,C33-34,352,"Trachea, bronchus and lung",2,64,46,89,64,15.0,37.3,1.8
16,C43,352,Melanoma of skin,2,8,3,20,8,1.7,4.7,0.18
17,C44,352,Non-melanoma skin cancer,2,0,0,0,0,0.00,0.00,0.00
18,C45,352,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,352,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,352,Breast,2,65,48,88,65,17.1,37.8,1.7
21,C51,352,Vulva,2,0,0,0,0,0.00,0.00,0.00
22,C52,352,Vagina,2,0,0,0,0,0.00,0.00,0.00
23,C53,352,Cervix uteri,2,8,3,21,8,2.7,4.7,0.43
24,C54,352,Corpus uteri,2,9,4,22,9,2.2,5.2,0.28
25,C56,352,Ovary,2,17,10,29,17,4.1,9.9,0.51
29,C64,352,Kidney,2,8,4,16,8,1.7,4.7,0.17
30,C67,352,Bladder,2,2,1,6,2,0.41,1.2,0.07
31,C70-72,352," Brain, central nervous system",2,16,9,28,16,5.0,9.3,0.57
32,C73,352,Thyroid,2,2,0,8,2,0.24,1.2,0.00
33,C81,352,Hodgkin lymphoma,2,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,352,Non-Hodgkin lymphoma,2,7,3,14,7,1.5,4.1,0.17
35,C90,352,Multiple myeloma,2,4,2,11,4,0.72,2.3,0.07
36,C91-95,352,Leukaemia,2,5,2,11,5,1.0,2.9,0.12
