Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,368,All cancers,2,11133,10853,11420,11133,79.5,53.5,8.4
1,C00-06,368,"Lip, oral cavity",2,90,72,112,90,0.67,0.43,0.08
2,C07-08,368,Salivary glands,2,35,27,45,35,0.27,0.17,0.03
3,C09-10,368,Oropharynx,2,3,1,17,3,0.03,0.01,0.00
4,C11,368,Nasopharynx,2,24,15,38,24,0.17,0.12,0.02
5,C12-13,368,Hypopharynx,2,8,5,13,8,0.06,0.04,0.01
6,C15,368,Oesophagus,2,140,96,204,140,1.1,0.67,0.13
7,C16,368,Stomach,2,486,413,571,486,3.6,2.3,0.40
41,C18-C21,368,Colorectum,2,623,-,-,623,4.6,3.0,0.52
11,C22,368,Liver and intrahepatic bile ducts,2,375,300,469,375,2.9,1.8,0.33
12,C23,368,Gallbladder,2,89,60,133,89,0.71,0.43,0.08
13,C25,368,Pancreas,2,256,192,341,256,2.0,1.2,0.25
14,C32,368,Larynx,2,80,60,107,80,0.64,0.38,0.07
15,C33-34,368,"Trachea, bronchus and lung",2,412,336,505,412,3.3,2.0,0.39
16,C43,368,Melanoma of skin,2,18,15,22,18,0.13,0.09,0.01
17,C44,368,Non-melanoma skin cancer,2,40,37,43,40,0.33,0.19,0.03
18,C45,368,Mesothelioma,2,6,1,27,6,0.05,0.03,0.00
19,C46,368,Kaposi sarcoma,2,6,4,8,6,0.05,0.03,0.00
20,C50,368,Breast,2,3372,3302,3443,3372,23.5,16.2,2.5
21,C51,368,Vulva,2,14,9,22,14,0.11,0.07,0.01
22,C52,368,Vagina,2,10,6,16,10,0.08,0.05,0.01
23,C53,368,Cervix uteri,2,216,179,260,216,1.6,1.0,0.19
24,C54,368,Corpus uteri,2,196,186,207,196,1.6,0.94,0.18
25,C56,368,Ovary,2,693,626,767,693,5.1,3.3,0.59
29,C64,368,Kidney,2,194,172,219,194,1.4,0.93,0.16
30,C67,368,Bladder,2,174,154,197,174,1.4,0.84,0.16
31,C70-72,368," Brain, central nervous system",2,698,610,798,698,4.5,3.4,0.47
32,C73,368,Thyroid,2,160,157,163,160,1.2,0.77,0.13
33,C81,368,Hodgkin lymphoma,2,154,142,167,154,0.84,0.74,0.07
34,C82-86+C88,368,Non-Hodgkin lymphoma,2,531,492,573,531,3.8,2.6,0.43
35,C90,368,Multiple myeloma,2,162,122,216,162,1.3,0.78,0.15
36,C91-95,368,Leukaemia,2,810,728,902,810,5.1,3.9,0.51
