Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,388,All cancers,2,2209,2105,2318,2209,110.6,146.8,11.2
1,C00-06,388,"Lip, oral cavity",2,8,3,22,8,0.34,0.53,0.03
2,C07-08,388,Salivary glands,2,1,0,10,1,0.05,0.07,0.01
3,C09-10,388,Oropharynx,2,1,0,10,1,0.06,0.07,0.01
4,C11,388,Nasopharynx,2,6,1,38,6,0.28,0.40,0.02
5,C12-13,388,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,388,Oesophagus,2,18,10,32,18,0.85,1.2,0.09
7,C16,388,Stomach,2,71,54,93,71,3.2,4.7,0.32
41,C18-C21,388,Colorectum,2,197,-,-,197,9.3,13.1,0.97
11,C22,388,Liver and intrahepatic bile ducts,2,49,34,70,49,2.3,3.3,0.22
12,C23,388,Gallbladder,2,27,16,45,27,1.4,1.8,0.15
13,C25,388,Pancreas,2,61,43,86,61,2.9,4.1,0.34
14,C32,388,Larynx,2,3,0,29,3,0.12,0.20,0.01
15,C33-34,388,"Trachea, bronchus and lung",2,164,103,262,164,7.9,10.9,0.90
16,C43,388,Melanoma of skin,2,5,1,48,5,0.21,0.33,0.03
17,C44,388,Non-melanoma skin cancer,2,3,1,10,3,0.13,0.20,0.01
18,C45,388,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,388,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,388,Breast,2,684,558,838,684,35.2,45.5,3.6
21,C51,388,Vulva,2,2,1,7,2,0.08,0.13,0.01
22,C52,388,Vagina,2,1,0,10,1,0.06,0.07,0.01
23,C53,388,Cervix uteri,2,236,193,289,236,12.4,15.7,1.4
24,C54,388,Corpus uteri,2,160,100,257,160,7.7,10.6,0.97
25,C56,388,Ovary,2,73,52,103,73,3.6,4.9,0.41
29,C64,388,Kidney,2,12,5,29,12,0.74,0.80,0.08
30,C67,388,Bladder,2,29,19,44,29,1.3,1.9,0.11
31,C70-72,388," Brain, central nervous system",2,19,9,39,19,1.1,1.3,0.08
32,C73,388,Thyroid,2,14,7,27,14,0.68,0.93,0.08
33,C81,388,Hodgkin lymphoma,2,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,388,Non-Hodgkin lymphoma,2,56,38,83,56,3.0,3.7,0.32
35,C90,388,Multiple myeloma,2,50,35,71,50,2.4,3.3,0.29
36,C91-95,388,Leukaemia,2,66,46,94,66,3.7,4.4,0.34
