Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,414,All cancers,2,870,794,953,870,65.9,51.3,7.0
1,C00-06,414,"Lip, oral cavity",2,9,6,14,9,0.70,0.53,0.07
2,C07-08,414,Salivary glands,2,2,0,17,2,0.12,0.12,0.02
3,C09-10,414,Oropharynx,2,0,0,0,0,0.00,0.00,0.00
4,C11,414,Nasopharynx,2,7,1,33,7,0.46,0.41,0.07
5,C12-13,414,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,414,Oesophagus,2,8,1,67,8,0.62,0.47,0.08
7,C16,414,Stomach,2,27,14,52,27,2.2,1.6,0.22
41,C18-C21,414,Colorectum,2,78,-,-,78,5.8,4.6,0.68
11,C22,414,Liver and intrahepatic bile ducts,2,32,14,73,32,3.0,1.9,0.33
12,C23,414,Gallbladder,2,15,2,102,15,1.2,0.88,0.15
13,C25,414,Pancreas,2,36,18,74,36,3.1,2.1,0.38
14,C32,414,Larynx,2,4,0,40,4,0.43,0.24,0.06
15,C33-34,414,"Trachea, bronchus and lung",2,42,26,69,42,3.8,2.5,0.44
16,C43,414,Melanoma of skin,2,0,0,0,0,0.00,0.00,0.00
17,C44,414,Non-melanoma skin cancer,2,0,0,0,0,0.00,0.00,0.00
18,C45,414,Mesothelioma,2,4,1,27,4,0.29,0.24,0.05
19,C46,414,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,414,Breast,2,255,244,267,255,17.0,15.0,1.7
21,C51,414,Vulva,2,0,0,0,0,0.00,0.00,0.00
22,C52,414,Vagina,2,0,0,0,0,0.00,0.00,0.00
23,C53,414,Cervix uteri,2,34,24,48,34,2.0,2.0,0.26
24,C54,414,Corpus uteri,2,28,26,31,28,2.5,1.7,0.29
25,C56,414,Ovary,2,55,39,77,55,4.3,3.2,0.48
29,C64,414,Kidney,2,7,5,9,7,0.68,0.41,0.07
30,C67,414,Bladder,2,8,6,11,8,0.75,0.47,0.08
31,C70-72,414," Brain, central nervous system",2,14,6,31,14,1.0,0.82,0.11
32,C73,414,Thyroid,2,18,17,19,18,1.5,1.1,0.16
33,C81,414,Hodgkin lymphoma,2,5,4,6,5,0.29,0.29,0.03
34,C82-86+C88,414,Non-Hodgkin lymphoma,2,38,32,45,38,3.1,2.2,0.32
35,C90,414,Multiple myeloma,2,14,7,26,14,1.0,0.82,0.14
36,C91-95,414,Leukaemia,2,44,32,60,44,3.2,2.6,0.30
