Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,417,All cancers,2,2218,2122,2318,2218,68.0,65.2,7.6
1,C00-06,417,"Lip, oral cavity",2,24,13,44,24,0.72,0.71,0.07
2,C07-08,417,Salivary glands,2,9,3,30,9,0.26,0.26,0.02
3,C09-10,417,Oropharynx,2,3,0,20,3,0.09,0.09,0.01
4,C11,417,Nasopharynx,2,9,3,25,9,0.27,0.26,0.03
5,C12-13,417,Hypopharynx,2,8,2,35,8,0.25,0.24,0.02
6,C15,417,Oesophagus,2,56,38,82,56,1.7,1.7,0.19
7,C16,417,Stomach,2,252,210,302,252,7.8,7.4,0.93
41,C18-C21,417,Colorectum,2,143,-,-,143,4.4,4.2,0.51
11,C22,417,Liver and intrahepatic bile ducts,2,149,116,192,149,4.7,4.4,0.58
12,C23,417,Gallbladder,2,21,11,42,21,0.67,0.62,0.09
13,C25,417,Pancreas,2,119,91,156,119,3.8,3.5,0.49
14,C32,417,Larynx,2,6,1,33,6,0.18,0.18,0.02
15,C33-34,417,"Trachea, bronchus and lung",2,170,135,213,170,5.3,5.0,0.64
16,C43,417,Melanoma of skin,2,10,4,24,10,0.29,0.29,0.02
17,C44,417,Non-melanoma skin cancer,2,27,16,46,27,0.79,0.79,0.05
18,C45,417,Mesothelioma,2,2,0,16,2,0.06,0.06,0.01
19,C46,417,Kaposi sarcoma,2,2,0,16,2,0.06,0.06,0.01
20,C50,417,Breast,2,270,223,327,270,8.2,7.9,0.95
21,C51,417,Vulva,2,13,6,29,13,0.41,0.38,0.04
22,C52,417,Vagina,2,5,1,24,5,0.15,0.15,0.02
23,C53,417,Cervix uteri,2,278,228,339,278,8.4,8.2,0.94
24,C54,417,Corpus uteri,2,79,57,110,79,2.4,2.3,0.31
25,C56,417,Ovary,2,156,121,201,156,4.8,4.6,0.57
29,C64,417,Kidney,2,41,25,68,41,1.3,1.2,0.17
30,C67,417,Bladder,2,13,6,27,13,0.41,0.38,0.05
31,C70-72,417," Brain, central nervous system",2,84,59,121,84,2.5,2.5,0.26
32,C73,417,Thyroid,2,19,9,39,19,0.58,0.56,0.07
33,C81,417,Hodgkin lymphoma,2,7,1,51,7,0.22,0.21,0.02
34,C82-86+C88,417,Non-Hodgkin lymphoma,2,23,12,43,23,0.71,0.68,0.08
35,C90,417,Multiple myeloma,2,9,3,30,9,0.28,0.26,0.04
36,C91-95,417,Leukaemia,2,70,46,106,70,2.1,2.1,0.20
