Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,440,All cancers,2,3710,3567,3858,3710,88.7,259.4,9.7
1,C00-06,440,"Lip, oral cavity",2,28,19,41,28,0.81,2.0,0.10
2,C07-08,440,Salivary glands,2,8,4,16,8,0.16,0.56,0.02
3,C09-10,440,Oropharynx,2,6,3,12,6,0.19,0.42,0.03
4,C11,440,Nasopharynx,2,2,0,8,2,0.04,0.14,0.00
5,C12-13,440,Hypopharynx,2,4,2,10,4,0.11,0.28,0.02
6,C15,440,Oesophagus,2,27,18,40,27,0.80,1.9,0.11
7,C16,440,Stomach,2,238,203,279,238,5.6,16.6,0.64
41,C18-C21,440,Colorectum,2,471,-,-,471,9.4,32.9,1.0
11,C22,440,Liver and intrahepatic bile ducts,2,88,66,117,88,1.9,6.2,0.23
12,C23,440,Gallbladder,2,32,22,48,32,0.61,2.2,0.08
13,C25,440,Pancreas,2,305,262,355,305,6.4,21.3,0.77
14,C32,440,Larynx,2,6,3,13,6,0.17,0.42,0.02
15,C33-34,440,"Trachea, bronchus and lung",2,307,264,356,307,7.3,21.5,0.91
16,C43,440,Melanoma of skin,2,67,51,88,67,1.8,4.7,0.19
17,C44,440,Non-melanoma skin cancer,2,31,21,46,31,0.35,2.2,0.02
18,C45,440,Mesothelioma,2,3,1,8,3,0.09,0.21,0.02
19,C46,440,Kaposi sarcoma,2,1,0,10,1,0.01,0.07,0.00
20,C50,440,Breast,2,515,458,579,515,14.5,36.0,1.7
21,C51,440,Vulva,2,27,18,40,27,0.37,1.9,0.03
22,C52,440,Vagina,2,7,4,14,7,0.09,0.49,0.00
23,C53,440,Cervix uteri,2,191,158,230,191,6.8,13.4,0.73
24,C54,440,Corpus uteri,2,153,122,192,153,3.5,10.7,0.43
25,C56,440,Ovary,2,241,203,286,241,6.8,16.9,0.80
29,C64,440,Kidney,2,116,89,151,116,2.3,8.1,0.27
30,C67,440,Bladder,2,52,35,77,52,0.76,3.6,0.08
31,C70-72,440," Brain, central nervous system",2,123,97,156,123,3.8,8.6,0.39
32,C73,440,Thyroid,2,15,9,24,15,0.32,1.1,0.04
33,C81,440,Hodgkin lymphoma,2,5,2,11,5,0.19,0.35,0.02
34,C82-86+C88,440,Non-Hodgkin lymphoma,2,82,60,113,82,1.5,5.7,0.17
35,C90,440,Multiple myeloma,2,68,53,87,68,1.5,4.8,0.18
36,C91-95,440,Leukaemia,2,147,116,186,147,2.5,10.3,0.27
