Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,466,All cancers,2,6469,6256,6689,6469,115.1,60.4,12.1
1,C00-06,466,"Lip, oral cavity",2,114,84,155,114,2.1,1.1,0.24
2,C07-08,466,Salivary glands,2,34,17,68,34,0.69,0.32,0.07
3,C09-10,466,Oropharynx,2,9,2,34,9,0.16,0.08,0.02
4,C11,466,Nasopharynx,2,9,2,46,9,0.16,0.08,0.02
5,C12-13,466,Hypopharynx,2,3,1,17,3,0.06,0.03,0.01
6,C15,466,Oesophagus,2,135,95,192,135,2.6,1.3,0.29
7,C16,466,Stomach,2,598,489,731,598,11.7,5.6,1.4
41,C18-C21,466,Colorectum,2,379,-,-,379,7.1,3.5,0.77
11,C22,466,Liver and intrahepatic bile ducts,2,308,232,408,308,5.8,2.9,0.64
12,C23,466,Gallbladder,2,15,2,107,15,0.29,0.14,0.03
13,C25,466,Pancreas,2,100,66,151,100,2.1,0.93,0.25
14,C32,466,Larynx,2,14,3,76,14,0.24,0.13,0.03
15,C33-34,466,"Trachea, bronchus and lung",2,100,62,160,100,2.0,0.93,0.23
16,C43,466,Melanoma of skin,2,21,15,29,21,0.46,0.20,0.05
17,C44,466,Non-melanoma skin cancer,2,75,64,88,75,1.6,0.70,0.20
18,C45,466,Mesothelioma,2,3,0,44,3,0.06,0.03,0.00
19,C46,466,Kaposi sarcoma,2,24,14,42,24,0.32,0.22,0.03
20,C50,466,Breast,2,1348,1271,1430,1348,23.1,12.6,2.5
21,C51,466,Vulva,2,25,16,38,25,0.46,0.23,0.04
22,C52,466,Vagina,2,21,13,33,21,0.38,0.20,0.05
23,C53,466,Cervix uteri,2,1431,1341,1527,1431,26.1,13.4,2.9
24,C54,466,Corpus uteri,2,53,46,61,53,1.2,0.49,0.15
25,C56,466,Ovary,2,211,178,251,211,3.9,2.0,0.44
29,C64,466,Kidney,2,111,83,148,111,1.4,1.0,0.12
30,C67,466,Bladder,2,203,176,235,203,3.8,1.9,0.45
31,C70-72,466," Brain, central nervous system",2,72,49,105,72,1.2,0.67,0.13
32,C73,466,Thyroid,2,72,60,87,72,1.6,0.67,0.21
33,C81,466,Hodgkin lymphoma,2,23,14,39,23,0.31,0.21,0.03
34,C82-86+C88,466,Non-Hodgkin lymphoma,2,100,74,135,100,1.4,0.93,0.14
35,C90,466,Multiple myeloma,2,10,1,147,10,0.21,0.09,0.02
36,C91-95,466,Leukaemia,2,66,41,107,66,1.0,0.62,0.09
