Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,484,All cancers,2,49795,49337,50257,49795,61.4,74.1,6.6
1,C00-06,484,"Lip, oral cavity",2,306,246,380,306,0.35,0.46,0.04
2,C07-08,484,Salivary glands,2,86,56,132,86,0.10,0.13,0.01
3,C09-10,484,Oropharynx,2,64,41,101,64,0.07,0.10,0.01
4,C11,484,Nasopharynx,2,35,18,68,35,0.04,0.05,0.01
5,C12-13,484,Hypopharynx,2,16,6,43,16,0.02,0.02,0.00
6,C15,484,Oesophagus,2,297,235,376,297,0.35,0.44,0.04
7,C16,484,Stomach,2,3397,3189,3619,3397,4.1,5.1,0.45
41,C18-C21,484,Colorectum,2,3964,-,-,3964,4.8,5.9,0.54
11,C22,484,Liver and intrahepatic bile ducts,2,3870,3636,4119,3870,4.6,5.8,0.54
12,C23,484,Gallbladder,2,644,550,755,644,0.79,0.96,0.10
13,C25,484,Pancreas,2,2724,2540,2921,2724,3.3,4.1,0.39
14,C32,484,Larynx,2,107,73,156,107,0.12,0.16,0.01
15,C33-34,484,"Trachea, bronchus and lung",2,2988,2797,3193,2988,3.6,4.5,0.41
16,C43,484,Melanoma of skin,2,375,309,455,375,0.43,0.56,0.04
17,C44,484,Non-melanoma skin cancer,2,461,384,553,461,0.45,0.69,0.03
18,C45,484,Mesothelioma,2,109,73,164,109,0.14,0.16,0.02
19,C46,484,Kaposi sarcoma,2,14,2,110,14,0.02,0.02,0.00
20,C50,484,Breast,2,8195,7873,8530,8195,10.3,12.2,1.2
21,C51,484,Vulva,2,186,137,252,186,0.21,0.28,0.02
22,C52,484,Vagina,2,72,47,111,72,0.09,0.11,0.01
23,C53,484,Cervix uteri,2,4909,4655,5176,4909,6.2,7.3,0.67
24,C54,484,Corpus uteri,2,1360,1221,1514,1360,1.7,2.0,0.22
25,C56,484,Ovary,2,3360,3177,3553,3360,4.3,5.0,0.50
29,C64,484,Kidney,2,1131,1016,1259,1131,1.4,1.7,0.16
30,C67,484,Bladder,2,414,343,499,414,0.45,0.62,0.04
31,C70-72,484," Brain, central nervous system",2,1209,1088,1344,1209,1.6,1.8,0.17
32,C73,484,Thyroid,2,667,573,777,667,0.80,0.99,0.10
33,C81,484,Hodgkin lymphoma,2,278,224,344,278,0.34,0.41,0.03
34,C82-86+C88,484,Non-Hodgkin lymphoma,2,1427,1289,1579,1427,1.7,2.1,0.19
35,C90,484,Multiple myeloma,2,678,587,783,678,0.86,1.0,0.11
36,C91-95,484,Leukaemia,2,2342,2172,2525,2342,3.2,3.5,0.29
