Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,516,All cancers,2,1043,960,1134,1043,103.4,76.9,10.6
1,C00-06,516,"Lip, oral cavity",2,20,14,28,20,2.2,1.5,0.22
2,C07-08,516,Salivary glands,2,4,2,9,4,0.41,0.29,0.06
3,C09-10,516,Oropharynx,2,4,1,17,4,0.46,0.29,0.06
4,C11,516,Nasopharynx,2,2,0,29,2,0.21,0.15,0.02
5,C12-13,516,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,516,Oesophagus,2,13,5,33,13,1.4,0.96,0.16
7,C16,516,Stomach,2,16,6,42,16,1.6,1.2,0.20
41,C18-C21,516,Colorectum,2,43,-,-,43,4.6,3.2,0.57
11,C22,516,Liver and intrahepatic bile ducts,2,26,11,62,26,2.6,1.9,0.29
12,C23,516,Gallbladder,2,5,1,24,5,0.55,0.37,0.08
13,C25,516,Pancreas,2,7,1,41,7,0.79,0.52,0.10
14,C32,516,Larynx,2,4,1,24,4,0.47,0.29,0.08
15,C33-34,516,"Trachea, bronchus and lung",2,36,17,76,36,4.0,2.7,0.49
16,C43,516,Melanoma of skin,2,12,9,15,12,1.3,0.88,0.10
17,C44,516,Non-melanoma skin cancer,2,26,23,30,26,2.9,1.9,0.29
18,C45,516,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,516,Kaposi sarcoma,2,61,46,81,61,4.7,4.5,0.42
20,C50,516,Breast,2,227,209,247,227,22.5,16.7,2.5
21,C51,516,Vulva,2,9,5,16,9,0.85,0.66,0.07
22,C52,516,Vagina,2,6,3,12,6,0.57,0.44,0.06
23,C53,516,Cervix uteri,2,203,175,236,203,20.5,15.0,2.2
24,C54,516,Corpus uteri,2,16,13,19,16,1.8,1.2,0.21
25,C56,516,Ovary,2,32,21,49,32,3.3,2.4,0.38
29,C64,516,Kidney,2,13,8,23,13,1.3,0.96,0.14
30,C67,516,Bladder,2,12,6,24,12,1.2,0.88,0.08
31,C70-72,516," Brain, central nervous system",2,14,4,45,14,1.2,1.0,0.11
32,C73,516,Thyroid,2,8,6,11,8,0.80,0.59,0.08
33,C81,516,Hodgkin lymphoma,2,3,2,6,3,0.25,0.22,0.02
34,C82-86+C88,516,Non-Hodgkin lymphoma,2,42,27,65,42,3.9,3.1,0.39
35,C90,516,Multiple myeloma,2,8,2,32,8,0.90,0.59,0.13
36,C91-95,516,Leukaemia,2,19,9,39,19,1.8,1.4,0.17
