Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,558,All cancers,2,2516,2409,2627,2516,72.2,73.2,7.6
1,C00-06,558,"Lip, oral cavity",2,12,5,31,12,0.33,0.35,0.03
2,C07-08,558,Salivary glands,2,5,1,44,5,0.13,0.15,0.01
3,C09-10,558,Oropharynx,2,5,1,30,5,0.16,0.15,0.02
4,C11,558,Nasopharynx,2,6,1,35,6,0.18,0.17,0.02
5,C12-13,558,Hypopharynx,2,1,0,9,1,0.03,0.03,0.00
6,C15,558,Oesophagus,2,9,3,32,9,0.26,0.26,0.03
7,C16,558,Stomach,2,216,178,263,216,6.1,6.3,0.67
41,C18-C21,558,Colorectum,2,192,-,-,192,5.4,5.6,0.58
11,C22,558,Liver and intrahepatic bile ducts,2,277,236,325,277,8.0,8.1,0.92
12,C23,558,Gallbladder,2,57,38,86,57,1.6,1.7,0.18
13,C25,558,Pancreas,2,111,70,175,111,3.2,3.2,0.37
14,C32,558,Larynx,2,10,4,25,10,0.25,0.29,0.02
15,C33-34,558,"Trachea, bronchus and lung",2,137,110,171,137,3.9,4.0,0.45
16,C43,558,Melanoma of skin,2,11,4,34,11,0.31,0.32,0.04
17,C44,558,Non-melanoma skin cancer,2,12,5,31,12,0.32,0.35,0.03
18,C45,558,Mesothelioma,2,2,0,18,2,0.06,0.06,0.01
19,C46,558,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,558,Breast,2,366,310,433,366,10.6,10.7,1.2
21,C51,558,Vulva,2,11,5,27,11,0.30,0.32,0.02
22,C52,558,Vagina,2,8,2,29,8,0.23,0.23,0.02
23,C53,558,Cervix uteri,2,345,288,414,345,9.9,10.0,1.1
24,C54,558,Corpus uteri,2,44,26,74,44,1.3,1.3,0.17
25,C56,558,Ovary,2,85,59,122,85,2.5,2.5,0.28
29,C64,558,Kidney,2,28,15,53,28,0.78,0.81,0.08
30,C67,558,Bladder,2,13,5,33,13,0.35,0.38,0.04
31,C70-72,558," Brain, central nervous system",2,84,49,145,84,2.5,2.4,0.24
32,C73,558,Thyroid,2,38,23,62,38,1.1,1.1,0.13
33,C81,558,Hodgkin lymphoma,2,10,4,25,10,0.28,0.29,0.02
34,C82-86+C88,558,Non-Hodgkin lymphoma,2,72,49,107,72,2.1,2.1,0.24
35,C90,558,Multiple myeloma,2,17,7,42,17,0.51,0.49,0.06
36,C91-95,558,Leukaemia,2,127,89,181,127,3.7,3.7,0.33
