Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,620,All cancers,2,14252,13932,14580,14252,77.5,266.9,7.7
1,C00-06,620,"Lip, oral cavity",2,123,85,178,123,0.63,2.3,0.06
2,C07-08,620,Salivary glands,2,23,14,39,23,0.10,0.43,0.01
3,C09-10,620,Oropharynx,2,18,11,31,18,0.13,0.34,0.02
4,C11,620,Nasopharynx,2,14,8,25,14,0.09,0.26,0.01
5,C12-13,620,Hypopharynx,2,15,7,34,15,0.10,0.28,0.01
6,C15,620,Oesophagus,2,88,62,126,88,0.43,1.7,0.04
7,C16,620,Stomach,2,1072,980,1172,1072,5.2,20.1,0.52
41,C18-C21,620,Colorectum,2,2141,-,-,2141,9.8,40.1,0.92
11,C22,620,Liver and intrahepatic bile ducts,2,444,384,513,444,2.2,8.3,0.24
12,C23,620,Gallbladder,2,86,66,112,86,0.47,1.6,0.06
13,C25,620,Pancreas,2,1030,922,1151,1030,4.9,19.3,0.52
14,C32,620,Larynx,2,16,10,26,16,0.12,0.30,0.01
15,C33-34,620,"Trachea, bronchus and lung",2,1391,1248,1550,1391,8.9,26.1,1.0
16,C43,620,Melanoma of skin,2,145,114,184,145,0.85,2.7,0.09
17,C44,620,Non-melanoma skin cancer,2,131,106,162,131,0.39,2.5,0.02
18,C45,620,Mesothelioma,2,24,15,39,24,0.13,0.45,0.02
19,C46,620,Kaposi sarcoma,2,1,0,3,1,0.00,0.02,0.00
20,C50,620,Breast,2,2211,2049,2386,2211,14.5,41.4,1.5
21,C51,620,Vulva,2,94,64,139,94,0.31,1.8,0.02
22,C52,620,Vagina,2,24,15,39,24,0.10,0.45,0.01
23,C53,620,Cervix uteri,2,459,391,538,459,3.5,8.6,0.33
24,C54,620,Corpus uteri,2,439,353,546,439,2.3,8.2,0.27
25,C56,620,Ovary,2,472,407,548,472,3.1,8.8,0.37
29,C64,620,Kidney,2,189,143,250,189,0.98,3.5,0.10
30,C67,620,Bladder,2,374,313,447,374,1.4,7.0,0.12
31,C70-72,620," Brain, central nervous system",2,480,409,563,480,3.4,9.0,0.36
32,C73,620,Thyroid,2,68,38,121,68,0.27,1.3,0.02
33,C81,620,Hodgkin lymphoma,2,26,16,42,26,0.21,0.49,0.02
34,C82-86+C88,620,Non-Hodgkin lymphoma,2,506,443,578,506,2.4,9.5,0.25
35,C90,620,Multiple myeloma,2,323,264,395,323,1.5,6.1,0.16
36,C91-95,620,Leukaemia,2,454,395,522,454,2.6,8.5,0.23
