Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,646,All cancers,2,2563,2430,2703,2563,55.8,37.1,6.1
1,C00-06,646,"Lip, oral cavity",2,20,11,35,20,0.42,0.29,0.05
2,C07-08,646,Salivary glands,2,5,3,9,5,0.13,0.07,0.02
3,C09-10,646,Oropharynx,2,1,0,10,1,0.03,0.01,0.00
4,C11,646,Nasopharynx,2,2,0,16,2,0.05,0.03,0.01
5,C12-13,646,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,646,Oesophagus,2,49,27,90,49,1.2,0.71,0.13
7,C16,646,Stomach,2,320,223,460,320,7.5,4.6,0.89
41,C18-C21,646,Colorectum,2,108,-,-,108,2.5,1.6,0.28
11,C22,646,Liver and intrahepatic bile ducts,2,113,65,196,113,2.7,1.6,0.33
12,C23,646,Gallbladder,2,0,0,0,0,0.00,0.00,0.00
13,C25,646,Pancreas,2,19,7,51,19,0.45,0.27,0.06
14,C32,646,Larynx,2,2,0,29,2,0.05,0.03,0.01
15,C33-34,646,"Trachea, bronchus and lung",2,58,32,104,58,1.4,0.84,0.18
16,C43,646,Melanoma of skin,2,18,12,27,18,0.45,0.26,0.04
17,C44,646,Non-melanoma skin cancer,2,34,29,40,34,0.89,0.49,0.10
18,C45,646,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,646,Kaposi sarcoma,2,27,17,43,27,0.45,0.39,0.04
20,C50,646,Breast,2,401,371,433,401,8.4,5.8,0.90
21,C51,646,Vulva,2,36,26,50,36,0.85,0.52,0.09
22,C52,646,Vagina,2,4,2,8,4,0.10,0.06,0.01
23,C53,646,Cervix uteri,2,609,547,678,609,13.8,8.8,1.6
24,C54,646,Corpus uteri,2,16,13,20,16,0.42,0.23,0.05
25,C56,646,Ovary,2,130,103,164,130,2.9,1.9,0.34
29,C64,646,Kidney,2,49,34,71,49,0.74,0.71,0.06
30,C67,646,Bladder,2,18,11,29,18,0.45,0.26,0.05
31,C70-72,646," Brain, central nervous system",2,83,56,124,83,1.6,1.2,0.15
32,C73,646,Thyroid,2,17,15,20,17,0.43,0.25,0.05
33,C81,646,Hodgkin lymphoma,2,16,11,23,16,0.27,0.23,0.03
34,C82-86+C88,646,Non-Hodgkin lymphoma,2,104,82,131,104,2.0,1.5,0.22
35,C90,646,Multiple myeloma,2,23,12,46,23,0.54,0.33,0.07
36,C91-95,646,Leukaemia,2,138,103,185,138,2.4,2.0,0.23
