Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,728,All cancers,2,2938,2796,3087,2938,83.3,50.6,9.0
1,C00-06,728,"Lip, oral cavity",2,41,3,603,41,1.2,0.71,0.14
2,C07-08,728,Salivary glands,2,7,0,103,7,0.23,0.12,0.02
3,C09-10,728,Oropharynx,2,3,0,44,3,0.09,0.05,0.02
4,C11,728,Nasopharynx,2,31,2,456,31,0.85,0.53,0.09
5,C12-13,728,Hypopharynx,2,5,0,74,5,0.15,0.09,0.02
6,C15,728,Oesophagus,2,158,11,2324,158,4.8,2.7,0.57
7,C16,728,Stomach,2,119,69,204,119,3.5,2.1,0.38
41,C18-C21,728,Colorectum,2,142,-,-,142,4.1,2.5,0.46
11,C22,728,Liver and intrahepatic bile ducts,2,132,87,200,132,3.8,2.3,0.44
12,C23,728,Gallbladder,2,30,2,441,30,0.95,0.52,0.12
13,C25,728,Pancreas,2,53,9,296,53,1.6,0.91,0.19
14,C32,728,Larynx,2,8,1,81,8,0.24,0.14,0.03
15,C33-34,728,"Trachea, bronchus and lung",2,55,6,498,55,1.7,0.95,0.21
16,C43,728,Melanoma of skin,2,13,8,22,13,0.42,0.22,0.05
17,C44,728,Non-melanoma skin cancer,2,37,3,544,37,1.2,0.64,0.14
18,C45,728,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,728,Kaposi sarcoma,2,34,2,500,34,0.73,0.59,0.07
20,C50,728,Breast,2,657,574,752,657,17.6,11.3,1.9
21,C51,728,Vulva,2,18,11,29,18,0.56,0.31,0.07
22,C52,728,Vagina,2,7,1,65,7,0.22,0.12,0.03
23,C53,728,Cervix uteri,2,593,456,771,593,17.6,10.2,2.1
24,C54,728,Corpus uteri,2,30,12,77,30,0.94,0.52,0.11
25,C56,728,Ovary,2,125,74,210,125,3.6,2.2,0.43
29,C64,728,Kidney,2,40,9,174,40,0.95,0.69,0.09
30,C67,728,Bladder,2,21,2,187,21,0.68,0.36,0.08
31,C70-72,728," Brain, central nervous system",2,50,3,736,50,1.3,0.86,0.14
32,C73,728,Thyroid,2,36,2,530,36,1.1,0.62,0.13
33,C81,728,Hodgkin lymphoma,2,10,1,147,10,0.17,0.17,0.01
34,C82-86+C88,728,Non-Hodgkin lymphoma,2,81,10,667,81,2.1,1.4,0.22
35,C90,728,Multiple myeloma,2,27,11,68,27,0.87,0.47,0.11
36,C91-95,728,Leukaemia,2,64,40,103,64,1.6,1.1,0.17
