Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,756,All cancers,2,8828,8593,9069,8828,67.6,199.8,7.1
1,C00-06,756,"Lip, oral cavity",2,65,50,84,65,0.42,1.5,0.04
2,C07-08,756,Salivary glands,2,14,7,26,14,0.09,0.32,0.01
3,C09-10,756,Oropharynx,2,34,22,51,34,0.31,0.77,0.04
4,C11,756,Nasopharynx,2,5,2,15,5,0.05,0.11,0.01
5,C12-13,756,Hypopharynx,2,15,8,27,15,0.15,0.34,0.02
6,C15,756,Oesophagus,2,131,98,175,131,0.93,3.0,0.11
7,C16,756,Stomach,2,238,183,309,238,1.9,5.4,0.20
41,C18-C21,756,Colorectum,2,919,-,-,919,6.6,20.8,0.66
11,C22,756,Liver and intrahepatic bile ducts,2,289,240,348,289,2.1,6.5,0.24
12,C23,756,Gallbladder,2,60,44,81,60,0.42,1.4,0.04
13,C25,756,Pancreas,2,877,786,979,877,6.4,19.9,0.72
14,C32,756,Larynx,2,14,8,25,14,0.12,0.32,0.02
15,C33-34,756,"Trachea, bronchus and lung",2,1527,1418,1644,1527,13.0,34.6,1.6
16,C43,756,Melanoma of skin,2,131,97,177,131,0.91,3.0,0.09
17,C44,756,Non-melanoma skin cancer,2,66,48,91,66,0.30,1.5,0.02
18,C45,756,Mesothelioma,2,35,24,52,35,0.27,0.79,0.03
19,C46,756,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,756,Breast,2,1541,1394,1703,1541,12.4,34.9,1.3
21,C51,756,Vulva,2,46,34,63,46,0.25,1.0,0.02
22,C52,756,Vagina,2,13,7,23,13,0.10,0.29,0.01
23,C53,756,Cervix uteri,2,99,74,133,99,1.1,2.2,0.11
24,C54,756,Corpus uteri,2,227,185,279,227,1.6,5.1,0.18
25,C56,756,Ovary,2,456,387,537,456,3.6,10.3,0.40
29,C64,756,Kidney,2,111,86,144,111,0.70,2.5,0.07
30,C67,756,Bladder,2,222,168,293,222,1.4,5.0,0.13
31,C70-72,756," Brain, central nervous system",2,233,193,281,233,2.9,5.3,0.30
32,C73,756,Thyroid,2,35,26,48,35,0.22,0.79,0.02
33,C81,756,Hodgkin lymphoma,2,15,8,28,15,0.07,0.34,0.00
34,C82-86+C88,756,Non-Hodgkin lymphoma,2,276,232,328,276,1.6,6.3,0.16
35,C90,756,Multiple myeloma,2,211,171,261,211,1.3,4.8,0.13
36,C91-95,756,Leukaemia,2,277,228,337,277,1.8,6.3,0.17
