Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,12,All cancers,1,18809,18444,19181,18809,82.7,82.1,8.7
1,C00-06,12,"Lip, oral cavity",1,95,78,116,95,0.41,0.41,0.05
2,C07-08,12,Salivary glands,1,42,27,64,42,0.18,0.18,0.02
3,C09-10,12,Oropharynx,1,43,23,79,43,0.18,0.19,0.02
4,C11,12,Nasopharynx,1,682,624,745,682,3.1,3.0,0.37
5,C12-13,12,Hypopharynx,1,30,14,66,30,0.12,0.13,0.01
6,C15,12,Oesophagus,1,140,88,223,140,0.60,0.61,0.06
7,C16,12,Stomach,1,1361,1233,1502,1361,6.1,5.9,0.71
41,C18-C21,12,Colorectum,1,2330,-,-,2330,10.2,10.2,1.1
11,C22,12,Liver and intrahepatic bile ducts,1,345,281,423,345,1.5,1.5,0.18
12,C23,12,Gallbladder,1,232,187,288,232,1.0,1.0,0.11
13,C25,12,Pancreas,1,675,568,802,675,3.0,3.0,0.35
14,C32,12,Larynx,1,584,527,647,584,2.6,2.6,0.32
15,C33-34,12,"Trachea, bronchus and lung",1,3943,3696,4206,3943,17.9,17.2,2.2
16,C43,12,Melanoma of skin,1,55,45,67,55,0.24,0.24,0.02
17,C44,12,Non-melanoma skin cancer,1,266,253,280,266,1.1,1.2,0.08
18,C45,12,Mesothelioma,1,47,15,146,47,0.21,0.21,0.02
19,C46,12,Kaposi sarcoma,1,20,12,33,20,0.08,0.09,0.01
26,C60,12,Penis,1,2,0,29,2,0.01,0.01,0.00
27,C61,12,Prostate,1,1333,1294,1373,1333,5.1,5.8,0.19
28,C62,12,Testis,1,29,25,33,29,0.13,0.13,0.01
29,C64,12,Kidney,1,216,187,249,216,0.96,0.94,0.11
30,C67,12,Bladder,1,1550,1477,1627,1550,6.7,6.8,0.74
31,C70-72,12," Brain, central nervous system",1,840,753,937,840,3.8,3.7,0.41
32,C73,12,Thyroid,1,78,75,81,78,0.33,0.34,0.03
33,C81,12,Hodgkin lymphoma,1,144,136,153,144,0.64,0.63,0.06
34,C82-86+C88,12,Non-Hodgkin lymphoma,1,688,639,741,688,3.0,3.0,0.31
35,C90,12,Multiple myeloma,1,344,283,418,344,1.5,1.5,0.19
36,C91-95,12,Leukaemia,1,664,602,733,664,2.9,2.9,0.28
