Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,24,All cancers,1,6998,6836,7164,6998,91.5,40.4,9.6
1,C00-06,24,"Lip, oral cavity",1,152,142,163,152,2.1,0.88,0.28
2,C07-08,24,Salivary glands,1,35,29,42,35,0.39,0.20,0.04
3,C09-10,24,Oropharynx,1,92,66,127,92,1.3,0.53,0.17
4,C11,24,Nasopharynx,1,38,38,38,38,0.34,0.22,0.03
5,C12-13,24,Hypopharynx,1,5,5,5,5,0.10,0.03,0.03
6,C15,24,Oesophagus,1,611,609,613,611,8.9,3.5,1.2
7,C16,24,Stomach,1,259,259,259,259,3.3,1.5,0.39
41,C18-C21,24,Colorectum,1,231,-,-,231,2.8,1.3,0.31
11,C22,24,Liver and intrahepatic bile ducts,1,679,678,680,679,8.1,3.9,0.91
12,C23,24,Gallbladder,1,7,7,7,7,0.10,0.04,0.01
13,C25,24,Pancreas,1,184,182,186,184,2.0,1.1,0.20
14,C32,24,Larynx,1,165,158,172,165,2.6,0.95,0.37
15,C33-34,24,"Trachea, bronchus and lung",1,200,200,200,200,3.0,1.2,0.41
16,C43,24,Melanoma of skin,1,18,17,19,18,0.29,0.10,0.04
17,C44,24,Non-melanoma skin cancer,1,62,58,66,62,0.76,0.36,0.09
18,C45,24,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,24,Kaposi sarcoma,1,241,34,1711,241,2.2,1.4,0.20
26,C60,24,Penis,1,31,25,38,31,0.58,0.18,0.08
27,C61,24,Prostate,1,1415,1288,1555,1415,27.3,8.2,3.0
28,C62,24,Testis,1,18,13,24,18,0.14,0.10,0.02
29,C64,24,Kidney,1,191,185,197,191,2.2,1.1,0.14
30,C67,24,Bladder,1,118,117,119,118,2.0,0.68,0.14
31,C70-72,24," Brain, central nervous system",1,377,368,387,377,2.8,2.2,0.32
32,C73,24,Thyroid,1,20,19,21,20,0.37,0.12,0.06
33,C81,24,Hodgkin lymphoma,1,11,10,12,11,0.05,0.06,0.00
34,C82-86+C88,24,Non-Hodgkin lymphoma,1,295,281,309,295,2.4,1.7,0.20
35,C90,24,Multiple myeloma,1,41,40,42,41,0.63,0.24,0.02
36,C91-95,24,Leukaemia,1,187,183,191,187,1.5,1.1,0.15
