Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,44,All cancers,1,266,232,305,266,119.2,136.6,11.7
1,C00-06,44,"Lip, oral cavity",1,5,1,47,5,2.2,2.6,0.28
2,C07-08,44,Salivary glands,1,0,0,0,0,0.00,0.00,0.00
3,C09-10,44,Oropharynx,1,1,0,9,1,0.50,0.51,0.08
4,C11,44,Nasopharynx,1,0,0,0,0,0.00,0.00,0.00
5,C12-13,44,Hypopharynx,1,0,0,0,0,0.00,0.00,0.00
6,C15,44,Oesophagus,1,7,1,38,7,3.0,3.6,0.43
7,C16,44,Stomach,1,19,6,60,19,8.7,9.8,0.98
41,C18-C21,44,Colorectum,1,37,-,-,37,16.4,19.0,2.0
11,C22,44,Liver and intrahepatic bile ducts,1,13,3,64,13,6.1,6.7,0.71
12,C23,44,Gallbladder,1,1,0,9,1,0.40,0.51,0.00
13,C25,44,Pancreas,1,8,1,43,8,3.8,4.1,0.36
14,C32,44,Larynx,1,7,1,66,7,3.1,3.6,0.22
15,C33-34,44,"Trachea, bronchus and lung",1,25,9,68,25,10.9,12.8,1.3
16,C43,44,Melanoma of skin,1,1,0,9,1,0.40,0.51,0.00
17,C44,44,Non-melanoma skin cancer,1,0,0,0,0,0.00,0.00,0.00
18,C45,44,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,44,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,44,Penis,1,1,0,9,1,0.35,0.51,0.04
27,C61,44,Prostate,1,74,46,120,74,33.9,38.0,2.8
28,C62,44,Testis,1,0,0,0,0,0.00,0.00,0.00
29,C64,44,Kidney,1,2,0,19,2,0.86,1.0,0.13
30,C67,44,Bladder,1,4,0,38,4,1.7,2.1,0.22
31,C70-72,44," Brain, central nervous system",1,3,0,28,3,1.3,1.5,0.17
32,C73,44,Thyroid,1,0,0,0,0,0.00,0.00,0.00
33,C81,44,Hodgkin lymphoma,1,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,44,Non-Hodgkin lymphoma,1,10,2,42,10,4.1,5.1,0.44
35,C90,44,Multiple myeloma,1,9,2,42,9,4.1,4.6,0.58
36,C91-95,44,Leukaemia,1,6,1,48,6,2.9,3.1,0.19
