Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,56,All cancers,1,16045,15737,16359,16045,111.7,277.1,11.5
1,C00-06,56,"Lip, oral cavity",1,166,135,204,166,1.4,2.9,0.18
2,C07-08,56,Salivary glands,1,27,19,39,27,0.18,0.47,0.02
3,C09-10,56,Oropharynx,1,134,84,213,134,1.3,2.3,0.17
4,C11,56,Nasopharynx,1,33,21,51,33,0.27,0.57,0.03
5,C12-13,56,Hypopharynx,1,98,65,147,98,0.75,1.7,0.09
6,C15,56,Oesophagus,1,655,577,744,655,5.0,11.3,0.61
7,C16,56,Stomach,1,453,388,529,453,3.2,7.8,0.34
41,C18-C21,56,Colorectum,1,1747,-,-,1747,11.5,30.2,1.2
11,C22,56,Liver and intrahepatic bile ducts,1,778,687,881,778,5.7,13.4,0.66
12,C23,56,Gallbladder,1,13,7,23,13,0.08,0.22,0.01
13,C25,56,Pancreas,1,1106,1006,1216,1106,8.0,19.1,0.92
14,C32,56,Larynx,1,132,98,178,132,1.1,2.3,0.13
15,C33-34,56,"Trachea, bronchus and lung",1,3888,3634,4159,3888,28.3,67.1,3.4
16,C43,56,Melanoma of skin,1,213,167,272,213,1.8,3.7,0.19
17,C44,56,Non-melanoma skin cancer,1,71,54,92,71,0.40,1.2,0.03
18,C45,56,Mesothelioma,1,226,174,294,226,1.5,3.9,0.18
19,C46,56,Kaposi sarcoma,1,1,0,5,1,0.00,0.02,0.00
26,C60,56,Penis,1,21,13,35,21,0.15,0.36,0.02
27,C61,56,Prostate,1,1902,1720,2103,1902,10.1,32.8,0.80
28,C62,56,Testis,1,11,6,21,11,0.14,0.19,0.01
29,C64,56,Kidney,1,459,382,551,459,3.2,7.9,0.35
30,C67,56,Bladder,1,845,721,990,845,4.9,14.6,0.45
31,C70-72,56," Brain, central nervous system",1,387,321,467,387,4.0,6.7,0.43
32,C73,56,Thyroid,1,60,44,82,60,0.39,1.0,0.04
33,C81,56,Hodgkin lymphoma,1,28,19,41,28,0.24,0.48,0.02
34,C82-86+C88,56,Non-Hodgkin lymphoma,1,467,397,549,467,2.9,8.1,0.28
35,C90,56,Multiple myeloma,1,289,236,354,289,1.9,5.0,0.20
36,C91-95,56,Leukaemia,1,634,564,713,634,4.3,11.0,0.42
