Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,204,All cancers,1,2470,2340,2607,2470,79.4,38.7,8.1
1,C00-06,204,"Lip, oral cavity",1,22,12,41,22,0.67,0.34,0.10
2,C07-08,204,Salivary glands,1,28,15,51,28,0.95,0.44,0.14
3,C09-10,204,Oropharynx,1,10,5,21,10,0.35,0.16,0.05
4,C11,204,Nasopharynx,1,22,11,43,22,0.64,0.34,0.08
5,C12-13,204,Hypopharynx,1,3,0,29,3,0.10,0.05,0.02
6,C15,204,Oesophagus,1,101,62,164,101,3.4,1.6,0.35
7,C16,204,Stomach,1,232,167,322,232,7.8,3.6,0.81
41,C18-C21,204,Colorectum,1,218,-,-,218,7.4,3.4,0.73
11,C22,204,Liver and intrahepatic bile ducts,1,389,305,496,389,11.2,6.1,1.1
12,C23,204,Gallbladder,1,19,6,62,19,0.57,0.30,0.03
13,C25,204,Pancreas,1,108,64,183,108,3.6,1.7,0.40
14,C32,204,Larynx,1,18,7,48,18,0.63,0.28,0.05
15,C33-34,204,"Trachea, bronchus and lung",1,55,28,107,55,2.0,0.86,0.10
16,C43,204,Melanoma of skin,1,9,1,67,9,0.42,0.14,0.03
17,C44,204,Non-melanoma skin cancer,1,26,21,33,26,0.74,0.41,0.10
18,C45,204,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,204,Kaposi sarcoma,1,11,4,28,11,0.23,0.17,0.02
26,C60,204,Penis,1,3,2,6,3,0.13,0.05,0.00
27,C61,204,Prostate,1,610,553,672,610,22.4,9.6,2.4
28,C62,204,Testis,1,5,3,7,5,0.11,0.08,0.01
29,C64,204,Kidney,1,35,21,59,35,1.1,0.55,0.17
30,C67,204,Bladder,1,28,19,42,28,1.1,0.44,0.08
31,C70-72,204," Brain, central nervous system",1,44,21,93,44,1.4,0.69,0.21
32,C73,204,Thyroid,1,0,0,0,0,0.00,0.00,0.00
33,C81,204,Hodgkin lymphoma,1,11,6,19,11,0.35,0.17,0.01
34,C82-86+C88,204,Non-Hodgkin lymphoma,1,62,40,96,62,1.5,0.97,0.18
35,C90,204,Multiple myeloma,1,25,8,78,25,0.81,0.39,0.09
36,C91-95,204,Leukaemia,1,129,96,173,129,3.4,2.0,0.32
