Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,70,All cancers,1,5051,4878,5230,5051,151.2,317.5,16.5
1,C00-06,70,"Lip, oral cavity",1,51,38,69,51,1.7,3.2,0.20
2,C07-08,70,Salivary glands,1,9,4,20,9,0.25,0.57,0.03
3,C09-10,70,Oropharynx,1,19,12,30,19,0.61,1.2,0.08
4,C11,70,Nasopharynx,1,7,3,16,7,0.21,0.44,0.02
5,C12-13,70,Hypopharynx,1,23,15,36,23,0.80,1.5,0.10
6,C15,70,Oesophagus,1,72,56,92,72,2.3,4.5,0.28
7,C16,70,Stomach,1,347,308,391,347,10.4,21.8,1.2
41,C18-C21,70,Colorectum,1,635,-,-,635,18.3,39.9,2.2
11,C22,70,Liver and intrahepatic bile ducts,1,262,228,301,262,7.7,16.5,0.94
12,C23,70,Gallbladder,1,31,21,46,31,0.89,2.0,0.10
13,C25,70,Pancreas,1,257,224,295,257,7.8,16.2,0.94
14,C32,70,Larynx,1,128,106,155,128,3.8,8.1,0.47
15,C33-34,70,"Trachea, bronchus and lung",1,1528,1444,1617,1528,46.9,96.1,5.8
16,C43,70,Melanoma of skin,1,61,45,83,61,2.0,3.8,0.22
17,C44,70,Non-melanoma skin cancer,1,43,30,61,43,1.2,2.7,0.10
18,C45,70,Mesothelioma,1,9,4,21,9,0.28,0.57,0.04
19,C46,70,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,70,Penis,1,3,1,8,3,0.09,0.19,0.02
27,C61,70,Prostate,1,457,408,511,457,11.8,28.7,1.2
28,C62,70,Testis,1,16,8,30,16,0.85,1.0,0.07
29,C64,70,Kidney,1,104,85,128,104,3.2,6.5,0.40
30,C67,70,Bladder,1,204,173,240,204,5.6,12.8,0.61
31,C70-72,70," Brain, central nervous system",1,185,158,217,185,6.3,11.6,0.72
32,C73,70,Thyroid,1,9,4,21,9,0.25,0.57,0.03
33,C81,70,Hodgkin lymphoma,1,13,7,24,13,0.41,0.82,0.05
34,C82-86+C88,70,Non-Hodgkin lymphoma,1,62,47,82,62,1.9,3.9,0.23
35,C90,70,Multiple myeloma,1,36,25,53,36,1.1,2.3,0.15
36,C91-95,70,Leukaemia,1,121,98,149,121,3.7,7.6,0.41
