Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,72,All cancers,1,552,492,619,552,70.2,46.6,7.5
1,C00-06,72,"Lip, oral cavity",1,27,20,36,27,3.8,2.3,0.41
2,C07-08,72,Salivary glands,1,2,0,12,2,0.32,0.17,0.05
3,C09-10,72,Oropharynx,1,3,2,6,3,0.48,0.25,0.08
4,C11,72,Nasopharynx,1,4,2,10,4,0.57,0.34,0.08
5,C12-13,72,Hypopharynx,1,5,1,24,5,0.72,0.42,0.12
6,C15,72,Oesophagus,1,88,48,161,88,12.4,7.4,1.5
7,C16,72,Stomach,1,12,5,31,12,1.5,1.0,0.17
41,C18-C21,72,Colorectum,1,22,-,-,22,2.8,1.9,0.33
11,C22,72,Liver and intrahepatic bile ducts,1,12,4,40,12,1.6,1.0,0.20
12,C23,72,Gallbladder,1,0,0,0,0,0.00,0.00,0.00
13,C25,72,Pancreas,1,7,0,103,7,0.91,0.59,0.12
14,C32,72,Larynx,1,18,10,33,18,2.8,1.5,0.32
15,C33-34,72,"Trachea, bronchus and lung",1,42,21,84,42,6.0,3.5,0.73
16,C43,72,Melanoma of skin,1,4,2,7,4,0.56,0.34,0.06
17,C44,72,Non-melanoma skin cancer,1,10,8,12,10,1.4,0.84,0.18
18,C45,72,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,72,Kaposi sarcoma,1,76,60,96,76,6.3,6.4,0.52
26,C60,72,Penis,1,14,10,19,14,1.8,1.2,0.19
27,C61,72,Prostate,1,76,64,91,76,12.1,6.4,1.2
28,C62,72,Testis,1,0,0,0,0,0.00,0.00,0.00
29,C64,72,Kidney,1,4,2,8,4,0.46,0.34,0.05
30,C67,72,Bladder,1,2,1,3,2,0.25,0.17,0.00
31,C70-72,72," Brain, central nervous system",1,6,1,27,6,0.53,0.51,0.03
32,C73,72,Thyroid,1,0,0,0,0,0.00,0.00,0.00
33,C81,72,Hodgkin lymphoma,1,7,4,12,7,0.65,0.59,0.06
34,C82-86+C88,72,Non-Hodgkin lymphoma,1,32,20,50,32,3.5,2.7,0.37
35,C90,72,Multiple myeloma,1,7,2,20,7,0.99,0.59,0.14
36,C91-95,72,Leukaemia,1,9,4,19,9,1.0,0.76,0.14
