Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,854,All cancers,1,4344,4217,4475,4344,91.1,39.3,9.8
1,C00-06,854,"Lip, oral cavity",1,101,94,108,101,1.7,0.91,0.19
2,C07-08,854,Salivary glands,1,14,12,16,14,0.19,0.13,0.02
3,C09-10,854,Oropharynx,1,14,13,15,14,0.38,0.13,0.05
4,C11,854,Nasopharynx,1,0,0,0,0,0.00,0.00,0.00
5,C12-13,854,Hypopharynx,1,0,0,0,0,0.00,0.00,0.00
6,C15,854,Oesophagus,1,149,149,149,149,3.6,1.4,0.51
7,C16,854,Stomach,1,124,124,124,124,2.8,1.1,0.39
41,C18-C21,854,Colorectum,1,115,-,-,115,1.6,1.0,0.11
11,C22,854,Liver and intrahepatic bile ducts,1,1083,1078,1088,1083,19.3,9.8,2.1
12,C23,854,Gallbladder,1,9,9,9,9,0.08,0.08,0.01
13,C25,854,Pancreas,1,209,206,212,209,4.6,1.9,0.43
14,C32,854,Larynx,1,39,38,40,39,0.93,0.35,0.14
15,C33-34,854,"Trachea, bronchus and lung",1,97,97,97,97,3.0,0.88,0.39
16,C43,854,Melanoma of skin,1,0,0,0,0,0.00,0.00,0.00
17,C44,854,Non-melanoma skin cancer,1,17,17,17,17,0.42,0.15,0.06
18,C45,854,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,854,Kaposi sarcoma,1,29,4,206,29,0.39,0.26,0.04
26,C60,854,Penis,1,0,0,0,0,0.00,0.00,0.00
27,C61,854,Prostate,1,772,712,837,772,25.0,7.0,2.5
28,C62,854,Testis,1,22,13,38,22,0.18,0.20,0.01
29,C64,854,Kidney,1,93,91,95,93,1.1,0.84,0.14
30,C67,854,Bladder,1,286,276,296,286,6.7,2.6,0.73
31,C70-72,854," Brain, central nervous system",1,132,130,134,132,2.3,1.2,0.26
32,C73,854,Thyroid,1,6,6,6,6,0.11,0.05,0.01
33,C81,854,Hodgkin lymphoma,1,6,6,6,6,0.04,0.05,0.00
34,C82-86+C88,854,Non-Hodgkin lymphoma,1,125,121,129,125,1.9,1.1,0.22
35,C90,854,Multiple myeloma,1,22,22,22,22,0.50,0.20,0.08
36,C91-95,854,Leukaemia,1,239,229,249,239,3.2,2.2,0.37
