Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,116,All cancers,1,7150,6926,7381,7150,121.9,85.3,12.5
1,C00-06,116,"Lip, oral cavity",1,154,146,162,154,2.8,1.8,0.30
2,C07-08,116,Salivary glands,1,19,17,22,19,0.32,0.23,0.04
3,C09-10,116,Oropharynx,1,59,52,66,59,0.97,0.70,0.10
4,C11,116,Nasopharynx,1,170,162,178,170,2.7,2.0,0.32
5,C12-13,116,Hypopharynx,1,55,51,60,55,0.95,0.66,0.12
6,C15,116,Oesophagus,1,271,260,282,271,5.1,3.2,0.52
7,C16,116,Stomach,1,260,248,272,260,4.6,3.1,0.49
41,C18-C21,116,Colorectum,1,482,-,-,482,8.9,5.8,0.89
11,C22,116,Liver and intrahepatic bile ducts,1,2254,2202,2308,2254,37.2,26.9,4.2
12,C23,116,Gallbladder,1,45,27,74,45,0.87,0.54,0.10
13,C25,116,Pancreas,1,98,87,111,98,1.7,1.2,0.18
14,C32,116,Larynx,1,98,95,102,98,1.8,1.2,0.23
15,C33-34,116,"Trachea, bronchus and lung",1,1219,1201,1237,1219,21.4,14.5,2.4
16,C43,116,Melanoma of skin,1,18,11,30,18,0.35,0.21,0.03
17,C44,116,Non-melanoma skin cancer,1,65,59,72,65,1.2,0.78,0.10
18,C45,116,Mesothelioma,1,1,1,2,1,0.01,0.01,0.00
19,C46,116,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,116,Penis,1,47,40,55,47,0.73,0.56,0.08
27,C61,116,Prostate,1,112,111,113,112,2.4,1.3,0.19
28,C62,116,Testis,1,21,18,25,21,0.24,0.25,0.02
29,C64,116,Kidney,1,86,81,92,86,1.2,1.0,0.10
30,C67,116,Bladder,1,106,101,111,106,2.0,1.3,0.22
31,C70-72,116," Brain, central nervous system",1,212,193,233,212,3.2,2.5,0.32
32,C73,116,Thyroid,1,27,26,28,27,0.56,0.32,0.04
33,C81,116,Hodgkin lymphoma,1,16,13,20,16,0.21,0.19,0.02
34,C82-86+C88,116,Non-Hodgkin lymphoma,1,212,199,226,212,3.5,2.5,0.36
35,C90,116,Multiple myeloma,1,52,39,69,52,1.0,0.62,0.12
36,C91-95,116,Leukaemia,1,300,285,316,300,4.4,3.6,0.45
