Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,170,All cancers,1,27816,27464,28173,27816,87.6,110.0,8.8
1,C00-06,170,"Lip, oral cavity",1,181,143,229,181,0.57,0.72,0.06
2,C07-08,170,Salivary glands,1,77,53,111,77,0.24,0.30,0.02
3,C09-10,170,Oropharynx,1,151,116,197,151,0.48,0.60,0.05
4,C11,170,Nasopharynx,1,59,39,89,59,0.20,0.23,0.02
5,C12-13,170,Hypopharynx,1,28,15,51,28,0.09,0.11,0.01
6,C15,170,Oesophagus,1,643,569,727,643,2.0,2.5,0.21
7,C16,170,Stomach,1,4198,3991,4415,4198,13.4,16.6,1.5
41,C18-C21,170,Colorectum,1,2763,-,-,2763,8.7,10.9,0.96
11,C22,170,Liver and intrahepatic bile ducts,1,1158,1065,1260,1158,3.7,4.6,0.42
12,C23,170,Gallbladder,1,127,96,168,127,0.40,0.50,0.04
13,C25,170,Pancreas,1,1227,1117,1348,1227,3.9,4.9,0.46
14,C32,170,Larynx,1,451,389,523,451,1.4,1.8,0.16
15,C33-34,170,"Trachea, bronchus and lung",1,3532,3347,3727,3532,11.0,14.0,1.3
16,C43,170,Melanoma of skin,1,238,194,292,238,0.75,0.94,0.08
17,C44,170,Non-melanoma skin cancer,1,376,330,428,376,1.1,1.5,0.07
18,C45,170,Mesothelioma,1,86,60,122,86,0.28,0.34,0.03
19,C46,170,Kaposi sarcoma,1,51,33,79,51,0.17,0.20,0.01
26,C60,170,Penis,1,154,118,200,154,0.50,0.61,0.05
27,C61,170,Prostate,1,4304,4132,4483,4304,12.2,17.0,0.99
28,C62,170,Testis,1,184,144,234,184,0.64,0.73,0.05
29,C64,170,Kidney,1,484,399,587,484,1.6,1.9,0.19
30,C67,170,Bladder,1,555,492,626,555,1.6,2.2,0.15
31,C70-72,170," Brain, central nervous system",1,891,792,1003,891,3.1,3.5,0.32
32,C73,170,Thyroid,1,147,112,193,147,0.48,0.58,0.06
33,C81,170,Hodgkin lymphoma,1,123,90,168,123,0.41,0.49,0.04
34,C82-86+C88,170,Non-Hodgkin lymphoma,1,1071,966,1187,1071,3.5,4.2,0.39
35,C90,170,Multiple myeloma,1,613,537,699,613,2.0,2.4,0.24
36,C91-95,170,Leukaemia,1,1296,1182,1421,1296,4.6,5.1,0.41
