Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,178,All cancers,1,815,742,895,815,59.2,28.1,6.0
1,C00-06,178,"Lip, oral cavity",1,4,1,15,4,0.30,0.14,0.04
2,C07-08,178,Salivary glands,1,5,1,33,5,0.24,0.17,0.02
3,C09-10,178,Oropharynx,1,0,0,0,0,0.00,0.00,0.00
4,C11,178,Nasopharynx,1,5,2,13,5,0.37,0.17,0.06
5,C12-13,178,Hypopharynx,1,0,0,0,0,0.00,0.00,0.00
6,C15,178,Oesophagus,1,7,1,63,7,0.54,0.24,0.07
7,C16,178,Stomach,1,52,30,91,52,3.5,1.8,0.38
41,C18-C21,178,Colorectum,1,53,-,-,53,3.0,1.8,0.36
11,C22,178,Liver and intrahepatic bile ducts,1,184,131,258,184,9.7,6.4,1.0
12,C23,178,Gallbladder,1,0,0,0,0,0.00,0.00,0.00
13,C25,178,Pancreas,1,20,7,61,20,1.3,0.69,0.15
14,C32,178,Larynx,1,8,2,31,8,0.60,0.28,0.06
15,C33-34,178,"Trachea, bronchus and lung",1,24,11,53,24,1.9,0.83,0.26
16,C43,178,Melanoma of skin,1,8,5,12,8,0.95,0.28,0.06
17,C44,178,Non-melanoma skin cancer,1,1,0,5,1,0.05,0.03,0.00
18,C45,178,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,178,Kaposi sarcoma,1,6,1,24,6,0.25,0.21,0.02
26,C60,178,Penis,1,0,0,0,0,0.00,0.00,0.00
27,C61,178,Prostate,1,252,222,287,252,25.5,8.7,2.4
28,C62,178,Testis,1,0,0,0,0,0.00,0.00,0.00
29,C64,178,Kidney,1,10,5,21,10,0.38,0.35,0.04
30,C67,178,Bladder,1,3,2,5,3,0.22,0.10,0.02
31,C70-72,178," Brain, central nervous system",1,4,1,13,4,0.14,0.14,0.01
32,C73,178,Thyroid,1,4,1,18,4,0.32,0.14,0.06
33,C81,178,Hodgkin lymphoma,1,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,178,Non-Hodgkin lymphoma,1,17,11,28,17,1.1,0.59,0.12
35,C90,178,Multiple myeloma,1,20,7,57,20,1.4,0.69,0.17
36,C91-95,178,Leukaemia,1,41,25,66,41,2.1,1.4,0.25
