Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,384,All cancers,1,6684,6468,6907,6684,90.5,47.8,9.8
1,C00-06,384,"Lip, oral cavity",1,67,48,93,67,0.73,0.48,0.07
2,C07-08,384,Salivary glands,1,36,24,54,36,0.34,0.26,0.04
3,C09-10,384,Oropharynx,1,14,8,24,14,0.17,0.10,0.02
4,C11,384,Nasopharynx,1,34,23,50,34,0.34,0.24,0.03
5,C12-13,384,Hypopharynx,1,5,2,10,5,0.06,0.04,0.01
6,C15,384,Oesophagus,1,50,27,91,50,0.69,0.36,0.08
7,C16,384,Stomach,1,298,236,376,298,4.1,2.1,0.51
41,C18-C21,384,Colorectum,1,402,-,-,402,5.3,2.9,0.59
11,C22,384,Liver and intrahepatic bile ducts,1,809,695,941,809,9.7,5.8,1.0
12,C23,384,Gallbladder,1,17,7,44,17,0.27,0.12,0.03
13,C25,384,Pancreas,1,157,111,222,157,2.2,1.1,0.27
14,C32,384,Larynx,1,86,65,113,86,1.3,0.62,0.14
15,C33-34,384,"Trachea, bronchus and lung",1,214,165,278,214,3.2,1.5,0.33
16,C43,384,Melanoma of skin,1,7,5,11,7,0.10,0.05,0.01
17,C44,384,Non-melanoma skin cancer,1,57,47,69,57,0.77,0.41,0.10
18,C45,384,Mesothelioma,1,18,6,54,18,0.29,0.13,0.07
19,C46,384,Kaposi sarcoma,1,69,53,90,69,0.82,0.49,0.08
26,C60,384,Penis,1,2,1,6,2,0.03,0.01,0.00
27,C61,384,Prostate,1,2216,2128,2308,2216,36.7,15.9,4.2
28,C62,384,Testis,1,5,3,9,5,0.04,0.04,0.00
29,C64,384,Kidney,1,97,70,135,97,1.1,0.69,0.11
30,C67,384,Bladder,1,39,29,52,39,0.52,0.28,0.08
31,C70-72,384," Brain, central nervous system",1,75,52,109,75,0.88,0.54,0.07
32,C73,384,Thyroid,1,9,7,12,9,0.14,0.06,0.02
33,C81,384,Hodgkin lymphoma,1,33,27,41,33,0.27,0.24,0.03
34,C82-86+C88,384,Non-Hodgkin lymphoma,1,330,290,375,330,3.6,2.4,0.37
35,C90,384,Multiple myeloma,1,81,53,123,81,1.0,0.58,0.13
36,C91-95,384,Leukaemia,1,174,135,225,174,2.1,1.3,0.21
