Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,262,All cancers,1,237,199,282,237,56.3,44.5,6.7
1,C00-06,262,"Lip, oral cavity",1,5,4,6,5,1.3,0.94,0.20
2,C07-08,262,Salivary glands,1,0,0,0,0,0.00,0.00,0.00
3,C09-10,262,Oropharynx,1,0,0,0,0,0.00,0.00,0.00
4,C11,262,Nasopharynx,1,4,3,5,4,0.84,0.75,0.09
5,C12-13,262,Hypopharynx,1,0,0,0,0,0.00,0.00,0.00
6,C15,262,Oesophagus,1,9,6,13,9,2.3,1.7,0.31
7,C16,262,Stomach,1,12,8,18,12,2.8,2.3,0.33
41,C18-C21,262,Colorectum,1,26,-,-,26,6.0,4.9,0.76
11,C22,262,Liver and intrahepatic bile ducts,1,22,10,51,22,5.0,4.1,0.60
12,C23,262,Gallbladder,1,0,0,0,0,0.00,0.00,0.00
13,C25,262,Pancreas,1,6,3,11,6,1.5,1.1,0.18
14,C32,262,Larynx,1,4,3,5,4,1.1,0.75,0.18
15,C33-34,262,"Trachea, bronchus and lung",1,14,10,20,14,3.3,2.6,0.40
16,C43,262,Melanoma of skin,1,0,0,0,0,0.00,0.00,0.00
17,C44,262,Non-melanoma skin cancer,1,4,3,5,4,1.1,0.75,0.16
18,C45,262,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,262,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,262,Penis,1,0,0,0,0,0.00,0.00,0.00
27,C61,262,Prostate,1,26,23,29,26,7.1,4.9,0.87
28,C62,262,Testis,1,0,0,0,0,0.00,0.00,0.00
29,C64,262,Kidney,1,6,5,8,6,1.5,1.1,0.19
30,C67,262,Bladder,1,7,6,8,7,1.8,1.3,0.23
31,C70-72,262," Brain, central nervous system",1,3,3,4,3,0.50,0.56,0.04
32,C73,262,Thyroid,1,3,2,4,3,0.86,0.56,0.16
33,C81,262,Hodgkin lymphoma,1,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,262,Non-Hodgkin lymphoma,1,22,19,25,22,5.2,4.1,0.53
35,C90,262,Multiple myeloma,1,1,1,1,1,0.31,0.19,0.05
36,C91-95,262,Leukaemia,1,20,16,25,20,4.4,3.8,0.51
