Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,818,All cancers,1,51692,51084,52307,51692,127.4,96.4,12.9
1,C00-06,818,"Lip, oral cavity",1,256,236,278,256,0.64,0.48,0.06
2,C07-08,818,Salivary glands,1,111,95,130,111,0.29,0.21,0.03
3,C09-10,818,Oropharynx,1,35,28,43,35,0.08,0.07,0.01
4,C11,818,Nasopharynx,1,121,102,143,121,0.28,0.23,0.02
5,C12-13,818,Hypopharynx,1,82,59,114,82,0.20,0.15,0.02
6,C15,818,Oesophagus,1,829,712,965,829,2.0,1.6,0.25
7,C16,818,Stomach,1,1220,1117,1332,1220,2.9,2.3,0.33
41,C18-C21,818,Colorectum,1,1537,-,-,1537,3.6,2.9,0.35
11,C22,818,Liver and intrahepatic bile ducts,1,17179,16600,17778,17179,41.5,32.0,4.9
12,C23,818,Gallbladder,1,268,224,320,268,0.68,0.50,0.08
13,C25,818,Pancreas,1,1936,1734,2161,1936,4.7,3.6,0.56
14,C32,818,Larynx,1,1152,1038,1279,1152,3.0,2.2,0.31
15,C33-34,818,"Trachea, bronchus and lung",1,5000,4663,5361,5000,12.6,9.3,1.5
16,C43,818,Melanoma of skin,1,47,35,62,47,0.12,0.09,0.01
17,C44,818,Non-melanoma skin cancer,1,704,635,781,704,1.8,1.3,0.21
18,C45,818,Mesothelioma,1,197,138,280,197,0.47,0.37,0.05
19,C46,818,Kaposi sarcoma,1,24,16,35,24,0.06,0.04,0.01
26,C60,818,Penis,1,4,1,11,4,0.01,0.01,0.00
27,C61,818,Prostate,1,2102,2048,2157,2102,6.4,3.9,0.24
28,C62,818,Testis,1,55,53,58,55,0.13,0.10,0.01
29,C64,818,Kidney,1,547,518,577,547,1.3,1.0,0.13
30,C67,818,Bladder,1,5838,5673,6008,5838,15.6,10.9,1.5
31,C70-72,818," Brain, central nervous system",1,1976,1830,2134,1976,4.3,3.7,0.46
32,C73,818,Thyroid,1,150,144,156,150,0.44,0.28,0.03
33,C81,818,Hodgkin lymphoma,1,268,257,280,268,0.54,0.50,0.03
34,C82-86+C88,818,Non-Hodgkin lymphoma,1,2437,2343,2535,2437,5.9,4.5,0.61
35,C90,818,Multiple myeloma,1,503,418,606,503,1.3,0.94,0.14
36,C91-95,818,Leukaemia,1,2316,2161,2482,2316,5.3,4.3,0.55
