Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,231,All cancers,1,19731,19357,20112,19731,56.5,32.6,6.2
1,C00-06,231,"Lip, oral cavity",1,352,310,399,352,0.98,0.58,0.12
2,C07-08,231,Salivary glands,1,142,108,187,142,0.49,0.23,0.05
3,C09-10,231,Oropharynx,1,59,39,89,59,0.17,0.10,0.02
4,C11,231,Nasopharynx,1,336,292,386,336,0.83,0.56,0.08
5,C12-13,231,Hypopharynx,1,36,17,75,36,0.09,0.06,0.01
6,C15,231,Oesophagus,1,540,452,644,540,1.8,0.89,0.23
7,C16,231,Stomach,1,1055,931,1195,1055,3.1,1.8,0.35
41,C18-C21,231,Colorectum,1,2462,-,-,2462,7.2,4.1,0.84
11,C22,231,Liver and intrahepatic bile ducts,1,1569,929,2648,1569,5.0,2.6,0.60
12,C23,231,Gallbladder,1,109,66,179,109,0.35,0.18,0.04
13,C25,231,Pancreas,1,422,348,511,422,1.4,0.70,0.16
14,C32,231,Larynx,1,271,233,316,271,0.87,0.45,0.10
15,C33-34,231,"Trachea, bronchus and lung",1,1202,1057,1366,1202,3.8,2.0,0.45
16,C43,231,Melanoma of skin,1,52,41,66,52,0.16,0.09,0.02
17,C44,231,Non-melanoma skin cancer,1,531,497,567,531,1.7,0.88,0.21
18,C45,231,Mesothelioma,1,8,1,118,8,0.03,0.01,0.01
19,C46,231,Kaposi sarcoma,1,63,45,89,63,0.15,0.10,0.02
26,C60,231,Penis,1,20,11,37,20,0.05,0.03,0.00
27,C61,231,Prostate,1,1397,1327,1470,1397,4.9,2.3,0.56
28,C62,231,Testis,1,114,102,128,114,0.29,0.19,0.03
29,C64,231,Kidney,1,732,662,809,732,2.0,1.2,0.22
30,C67,231,Bladder,1,622,576,672,622,2.0,1.0,0.23
31,C70-72,231," Brain, central nervous system",1,356,296,428,356,0.87,0.59,0.09
32,C73,231,Thyroid,1,262,247,278,262,0.87,0.43,0.12
33,C81,231,Hodgkin lymphoma,1,246,222,272,246,0.40,0.41,0.03
34,C82-86+C88,231,Non-Hodgkin lymphoma,1,1413,1328,1504,1413,3.5,2.3,0.37
35,C90,231,Multiple myeloma,1,184,126,268,184,0.59,0.30,0.08
36,C91-95,231,Leukaemia,1,1901,1785,2025,1901,4.2,3.1,0.40
