Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,312,All cancers,1,533,474,599,533,119.4,289.5,11.7
1,C00-06,312,"Lip, oral cavity",1,8,8,8,8,2.3,4.3,0.26
2,C07-08,312,Salivary glands,1,0,0,0,0,0.00,0.00,0.00
3,C09-10,312,Oropharynx,1,6,6,6,6,2.0,3.3,0.21
4,C11,312,Nasopharynx,1,0,0,0,0,0.00,0.00,0.00
5,C12-13,312,Hypopharynx,1,4,4,4,4,1.0,2.2,0.12
6,C15,312,Oesophagus,1,24,22,26,24,6.4,13.0,0.79
7,C16,312,Stomach,1,59,48,72,59,14.6,32.0,1.7
41,C18-C21,312,Colorectum,1,52,-,-,52,11.5,28.2,1.2
11,C22,312,Liver and intrahepatic bile ducts,1,24,23,25,24,6.1,13.0,0.73
12,C23,312,Gallbladder,1,3,1,9,3,0.50,1.6,0.05
13,C25,312,Pancreas,1,36,34,38,36,8.8,19.6,1.1
14,C32,312,Larynx,1,9,8,10,9,2.8,4.9,0.32
15,C33-34,312,"Trachea, bronchus and lung",1,65,64,66,65,16.5,35.3,2.1
16,C43,312,Melanoma of skin,1,1,1,1,1,0.16,0.54,0.00
17,C44,312,Non-melanoma skin cancer,1,0,0,0,0,0.00,0.00,0.00
18,C45,312,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,312,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,312,Penis,1,0,0,0,0,0.00,0.00,0.00
27,C61,312,Prostate,1,101,99,103,101,13.1,54.9,0.18
28,C62,312,Testis,1,0,0,0,0,0.00,0.00,0.00
29,C64,312,Kidney,1,4,4,4,4,0.99,2.2,0.20
30,C67,312,Bladder,1,7,7,7,7,1.4,3.8,0.14
31,C70-72,312," Brain, central nervous system",1,7,7,7,7,1.9,3.8,0.31
32,C73,312,Thyroid,1,0,0,0,0,0.00,0.00,0.00
33,C81,312,Hodgkin lymphoma,1,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,312,Non-Hodgkin lymphoma,1,11,11,11,11,2.7,6.0,0.34
35,C90,312,Multiple myeloma,1,17,15,20,17,3.0,9.2,0.28
36,C91-95,312,Leukaemia,1,17,16,18,17,4.4,9.2,0.45
