Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,324,All cancers,1,2432,2303,2568,2432,85.0,36.1,8.6
1,C00-06,324,"Lip, oral cavity",1,24,11,51,24,0.72,0.36,0.08
2,C07-08,324,Salivary glands,1,5,1,50,5,0.16,0.07,0.02
3,C09-10,324,Oropharynx,1,4,1,25,4,0.15,0.06,0.02
4,C11,324,Nasopharynx,1,6,0,88,6,0.22,0.09,0.02
5,C12-13,324,Hypopharynx,1,5,0,74,5,0.19,0.07,0.02
6,C15,324,Oesophagus,1,23,4,135,23,0.79,0.34,0.08
7,C16,324,Stomach,1,166,112,247,166,5.9,2.5,0.67
41,C18-C21,324,Colorectum,1,71,-,-,71,2.4,1.1,0.23
11,C22,324,Liver and intrahepatic bile ducts,1,915,757,1105,915,29.7,13.6,3.3
12,C23,324,Gallbladder,1,1,0,15,1,0.04,0.01,0.01
13,C25,324,Pancreas,1,28,6,129,28,1.0,0.42,0.12
14,C32,324,Larynx,1,28,13,62,28,1.1,0.42,0.11
15,C33-34,324,"Trachea, bronchus and lung",1,159,92,276,159,5.1,2.4,0.56
16,C43,324,Melanoma of skin,1,3,1,17,3,0.11,0.04,0.01
17,C44,324,Non-melanoma skin cancer,1,45,37,55,45,1.6,0.67,0.19
18,C45,324,Mesothelioma,1,1,0,15,1,0.01,0.01,0.00
19,C46,324,Kaposi sarcoma,1,15,7,33,15,0.42,0.22,0.04
26,C60,324,Penis,1,0,0,0,0,0.00,0.00,0.00
27,C61,324,Prostate,1,418,381,459,418,20.0,6.2,1.9
28,C62,324,Testis,1,4,2,10,4,0.07,0.06,0.01
29,C64,324,Kidney,1,19,8,43,19,0.44,0.28,0.05
30,C67,324,Bladder,1,18,10,33,18,0.79,0.27,0.08
31,C70-72,324," Brain, central nervous system",1,80,34,191,80,3.4,1.2,0.35
32,C73,324,Thyroid,1,6,2,16,6,0.24,0.09,0.03
33,C81,324,Hodgkin lymphoma,1,21,10,45,21,0.38,0.31,0.03
34,C82-86+C88,324,Non-Hodgkin lymphoma,1,90,69,118,90,2.1,1.3,0.22
35,C90,324,Multiple myeloma,1,6,0,88,6,0.14,0.09,0.02
36,C91-95,324,Leukaemia,1,33,11,96,33,0.86,0.49,0.06
