Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,328,All cancers,1,271,237,311,271,64.7,67.8,6.3
1,C00-06,328,"Lip, oral cavity",1,6,1,56,6,1.5,1.5,0.20
2,C07-08,328,Salivary glands,1,0,0,0,0,0.00,0.00,0.00
3,C09-10,328,Oropharynx,1,0,0,0,0,0.00,0.00,0.00
4,C11,328,Nasopharynx,1,0,0,0,0,0.00,0.00,0.00
5,C12-13,328,Hypopharynx,1,0,0,0,0,0.00,0.00,0.00
6,C15,328,Oesophagus,1,5,1,47,5,1.2,1.3,0.10
7,C16,328,Stomach,1,14,5,40,14,3.3,3.5,0.38
41,C18-C21,328,Colorectum,1,25,-,-,25,5.9,6.3,0.55
11,C22,328,Liver and intrahepatic bile ducts,1,14,5,40,14,3.4,3.5,0.41
12,C23,328,Gallbladder,1,1,0,9,1,0.27,0.25,0.07
13,C25,328,Pancreas,1,8,3,25,8,2.0,2.0,0.20
14,C32,328,Larynx,1,6,1,56,6,1.5,1.5,0.19
15,C33-34,328,"Trachea, bronchus and lung",1,23,11,49,23,5.5,5.8,0.58
16,C43,328,Melanoma of skin,1,0,0,0,0,0.00,0.00,0.00
17,C44,328,Non-melanoma skin cancer,1,0,0,0,0,0.00,0.00,0.00
18,C45,328,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,328,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,328,Penis,1,1,0,9,1,0.26,0.25,0.03
27,C61,328,Prostate,1,89,41,192,89,20.5,22.3,1.7
28,C62,328,Testis,1,0,0,0,0,0.00,0.00,0.00
29,C64,328,Kidney,1,3,0,20,3,0.75,0.75,0.10
30,C67,328,Bladder,1,3,0,28,3,0.69,0.75,0.05
31,C70-72,328," Brain, central nervous system",1,1,0,8,1,0.27,0.25,0.02
32,C73,328,Thyroid,1,0,0,0,0,0.00,0.00,0.00
33,C81,328,Hodgkin lymphoma,1,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,328,Non-Hodgkin lymphoma,1,14,5,36,14,3.4,3.5,0.37
35,C90,328,Multiple myeloma,1,0,0,0,0,0.00,0.00,0.00
36,C91-95,328,Leukaemia,1,8,3,25,8,2.1,2.0,0.14
