Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,332,All cancers,1,4595,4407,4790,4595,106.2,79.7,8.7
1,C00-06,332,"Lip, oral cavity",1,50,6,400,50,1.1,0.87,0.08
2,C07-08,332,Salivary glands,1,47,35,63,47,1.1,0.82,0.08
3,C09-10,332,Oropharynx,1,33,2,556,33,0.81,0.57,0.10
4,C11,332,Nasopharynx,1,15,1,253,15,0.34,0.26,0.04
5,C12-13,332,Hypopharynx,1,0,0,0,0,0.00,0.00,0.00
6,C15,332,Oesophagus,1,94,56,158,94,2.2,1.6,0.17
7,C16,332,Stomach,1,489,417,574,489,11.6,8.5,1.1
41,C18-C21,332,Colorectum,1,312,-,-,312,7.1,5.4,0.49
11,C22,332,Liver and intrahepatic bile ducts,1,409,325,515,409,9.5,7.1,1.1
12,C23,332,Gallbladder,1,17,1,286,17,0.41,0.29,0.05
13,C25,332,Pancreas,1,136,101,183,136,3.2,2.4,0.41
14,C32,332,Larynx,1,34,23,50,34,0.83,0.59,0.09
15,C33-34,332,"Trachea, bronchus and lung",1,222,172,286,222,5.3,3.9,0.59
16,C43,332,Melanoma of skin,1,10,1,168,10,0.23,0.17,0.01
17,C44,332,Non-melanoma skin cancer,1,19,13,27,19,0.47,0.33,0.04
18,C45,332,Mesothelioma,1,4,0,67,4,0.09,0.07,0.01
19,C46,332,Kaposi sarcoma,1,12,2,61,12,0.29,0.21,0.02
26,C60,332,Penis,1,23,2,280,23,0.51,0.40,0.05
27,C61,332,Prostate,1,1513,1403,1631,1513,35.9,26.2,2.1
28,C62,332,Testis,1,20,7,56,20,0.38,0.35,0.01
29,C64,332,Kidney,1,50,20,123,50,1.3,0.87,0.18
30,C67,332,Bladder,1,63,38,103,63,1.3,1.1,0.02
31,C70-72,332," Brain, central nervous system",1,10,3,38,10,0.24,0.17,0.02
32,C73,332,Thyroid,1,17,1,286,17,0.40,0.29,0.04
33,C81,332,Hodgkin lymphoma,1,21,2,202,21,0.46,0.36,0.05
34,C82-86+C88,332,Non-Hodgkin lymphoma,1,110,71,171,110,2.4,1.9,0.36
35,C90,332,Multiple myeloma,1,13,3,50,13,0.31,0.23,0.04
36,C91-95,332,Leukaemia,1,173,123,243,173,3.5,3.0,0.25
