Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,348,All cancers,1,17355,17040,17676,17355,187.9,379.3,20.0
1,C00-06,348,"Lip, oral cavity",1,391,344,444,391,4.8,8.5,0.60
2,C07-08,348,Salivary glands,1,59,43,81,59,0.62,1.3,0.07
3,C09-10,348,Oropharynx,1,223,174,285,223,2.8,4.9,0.35
4,C11,348,Nasopharynx,1,42,30,58,42,0.52,0.92,0.07
5,C12-13,348,Hypopharynx,1,311,264,366,311,3.9,6.8,0.50
6,C15,348,Oesophagus,1,436,381,499,436,5.1,9.5,0.65
7,C16,348,Stomach,1,769,690,857,769,8.0,16.8,0.92
41,C18-C21,348,Colorectum,1,2848,-,-,2848,29.5,62.2,3.4
11,C22,348,Liver and intrahepatic bile ducts,1,598,538,665,598,6.4,13.1,0.82
12,C23,348,Gallbladder,1,53,38,74,53,0.53,1.2,0.06
13,C25,348,Pancreas,1,1091,982,1212,1091,11.7,23.8,1.4
14,C32,348,Larynx,1,388,333,452,388,4.6,8.5,0.58
15,C33-34,348,"Trachea, bronchus and lung",1,4890,4696,5092,4890,54.5,106.9,6.8
16,C43,348,Melanoma of skin,1,182,145,228,182,1.9,4.0,0.20
17,C44,348,Non-melanoma skin cancer,1,118,89,156,118,1.1,2.6,0.07
18,C45,348,Mesothelioma,1,38,26,57,38,0.42,0.83,0.06
19,C46,348,Kaposi sarcoma,1,2,0,8,2,0.02,0.04,0.00
26,C60,348,Penis,1,27,17,42,27,0.29,0.59,0.03
27,C61,348,Prostate,1,1554,1394,1732,1554,13.7,34.0,1.3
28,C62,348,Testis,1,46,33,64,46,0.81,1.0,0.07
29,C64,348,Kidney,1,440,384,504,440,4.8,9.6,0.56
30,C67,348,Bladder,1,727,644,821,727,7.2,15.9,0.82
31,C70-72,348," Brain, central nervous system",1,369,320,426,369,4.8,8.1,0.53
32,C73,348,Thyroid,1,31,22,44,31,0.34,0.68,0.04
33,C81,348,Hodgkin lymphoma,1,20,13,32,20,0.22,0.44,0.02
34,C82-86+C88,348,Non-Hodgkin lymphoma,1,237,201,280,237,2.6,5.2,0.29
35,C90,348,Multiple myeloma,1,133,106,166,133,1.4,2.9,0.17
36,C91-95,348,Leukaemia,1,476,415,545,476,5.4,10.4,0.56
