Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,376,All cancers,1,6500,6333,6672,6500,92.9,146.2,9.1
1,C00-06,376,"Lip, oral cavity",1,35,18,69,35,0.54,0.79,0.06
2,C07-08,376,Salivary glands,1,18,8,40,18,0.26,0.40,0.03
3,C09-10,376,Oropharynx,1,9,4,18,9,0.14,0.20,0.01
4,C11,376,Nasopharynx,1,20,10,41,20,0.35,0.45,0.04
5,C12-13,376,Hypopharynx,1,7,2,22,7,0.11,0.16,0.01
6,C15,376,Oesophagus,1,92,60,141,92,1.4,2.1,0.14
7,C16,376,Stomach,1,290,244,345,290,4.3,6.5,0.46
41,C18-C21,376,Colorectum,1,770,-,-,770,10.5,17.3,0.97
11,C22,376,Liver and intrahepatic bile ducts,1,196,157,244,196,3.0,4.4,0.33
12,C23,376,Gallbladder,1,14,4,48,14,0.19,0.31,0.02
13,C25,376,Pancreas,1,595,518,683,595,9.0,13.4,1.0
14,C32,376,Larynx,1,65,45,94,65,0.96,1.5,0.11
15,C33-34,376,"Trachea, bronchus and lung",1,1218,1099,1350,1218,18.9,27.4,2.3
16,C43,376,Melanoma of skin,1,131,95,180,131,1.9,3.0,0.18
17,C44,376,Non-melanoma skin cancer,1,66,43,101,66,0.72,1.5,0.04
18,C45,376,Mesothelioma,1,33,16,66,33,0.46,0.74,0.05
19,C46,376,Kaposi sarcoma,1,13,5,32,13,0.15,0.29,0.01
26,C60,376,Penis,1,2,0,16,2,0.03,0.04,0.01
27,C61,376,Prostate,1,544,462,640,544,6.3,12.2,0.46
28,C62,376,Testis,1,9,2,53,9,0.16,0.20,0.01
29,C64,376,Kidney,1,193,149,250,193,2.8,4.3,0.29
30,C67,376,Bladder,1,392,328,469,392,4.8,8.8,0.40
31,C70-72,376," Brain, central nervous system",1,259,207,324,259,4.7,5.8,0.52
32,C73,376,Thyroid,1,32,15,68,32,0.45,0.72,0.05
33,C81,376,Hodgkin lymphoma,1,18,6,50,18,0.28,0.40,0.02
34,C82-86+C88,376,Non-Hodgkin lymphoma,1,284,236,341,284,4.1,6.4,0.42
35,C90,376,Multiple myeloma,1,183,136,246,183,2.5,4.1,0.26
36,C91-95,376,Leukaemia,1,323,260,401,323,4.6,7.3,0.45
